id,tmdb_id,imdb_id,title,release_year,genres,runtime,production_studios,tmdb_rating,imdb_rating,rotten_score,meta_score,avg_score
282,333623,tt3837248,Love Live! The School Idol Movie,2015,"['Animation', 'Music', 'Comedy']",99,"['SUNRISE', 'Bandai Visual', 'Lantis', 'Bushiroad', 'ASCII Media Works']",7.7,7.0,0.0,0.0,7.35
283,334376,tt4337072,Ghost in the Shell: The New Movie,2015,"['Science Fiction', 'Animation']",100,['Production I.G'],6.624,6.6,0.0,0.0,6.61
284,347413,tt4831682,Little Witch Academia: The Enchanted Parade,2015,"['Action', 'Animation', 'Fantasy', 'Comedy']",55,"['Good Smile Company', 'TRIGGER']",7.215,7.2,0.0,0.0,7.21
285,347187,tt3354306,Code Geass: Akito the Exiled 4: Memories of Hatred,2015,"['Action', 'Animation', 'Science Fiction']",60,['SUNRISE'],6.067,6.5,0.0,0.0,6.28
286,315465,tt4272866,The Boy and the Beast,2015,"['Action', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy']",119,"['Nippon Television Network Corporation', 'Studio Chizu', 'TOHO', 'VAP', 'dentsu', 'Yomiuri Telecasting Corporation', 'D.N. Dream Partners', 'Sapporo Television Broadcasting Company', 'Miyagi Television Broadcasting', 'Shizuoka Daiichi Television', 'Hiroshima Telecasting', 'Fukuoka Broadcasting System', 'KADOKAWA', 'Chukyo TV Broadcasting Company']",7.927,7.6,9.0,6.5,7.76
287,350499,tt4503906,Pokémon the Movie: Hoopa and the Clash of Ages,2015,"['Family', 'Adventure', 'Animation', 'Action', 'Fantasy']",73,"['Shogakukan-Shueisha Productions', 'OLM', 'TV Tokyo', 'The Pokémon Company', 'Shogakukan', 'TakaraTomy', 'jeki', 'Pikachu Project']",6.781,5.9,0.0,0.0,6.34
288,347201,tt4618398,Boruto: Naruto the Movie,2015,"['Adventure', 'Action', 'Animation', 'Comedy', 'Fantasy']",95,"['Pierrot', 'Aniplex', 'Bandai Namco Entertainment', 'Bandai', 'dentsu', 'Shueisha', 'TV Tokyo', 'TOHO']",7.5,7.7,0.0,0.0,7.6
289,331061,tt5331768,Date A Live: Mayuri Judgement,2015,"['Animation', 'Romance', 'Science Fiction', 'Action', 'Comedy']",72,"['KADOKAWA', 'Tokyo MX', 'Production IMS']",7.3,6.5,0.0,0.0,6.9
290,483685,tt5265536,Tokyo Ghoul: Jack,2015,"['Horror', 'Action', 'Animation', 'Drama']",30,['Pierrot'],7.6,7.4,0.0,0.0,7.5
291,364111,tt4489416,The Anthem of the Heart,2015,"['Animation', 'Drama', 'Music', 'Romance']",119,"['A-1 Pictures', 'Graphinica', 'Lawson Entertainment', 'Shogakukan', 'dentsu', 'Fuji Television Network', 'Aniplex']",7.608,7.3,0.0,0.0,7.45
292,342588,tt4235644,The Empire of Corpses,2015,"['Animation', 'Horror', 'Science Fiction', 'Thriller']",120,"['WIT STUDIO', 'Fuji Television Network', 'Aniplex', 'TOHO', 'Kansai Television', 'dentsu', 'Sony Music Entertainment (Japan)', 'Kyoraku Industrial Holdings']",6.2,6.0,0.0,0.0,6.1
293,357411,tt3615204,Harmony,2015,"['Thriller', 'Animation', 'Science Fiction']",119,"['Kyoraku Industrial Holdings', 'TOHO', 'dentsu', 'Sony Music Entertainment (Japan)', 'Aniplex', 'Beyond C.', 'Fuji Television Network', 'Kansai Television', 'STUDIO4℃']",6.871,6.1,0.0,0.0,6.49
294,357405,tt5284414,Girls und Panzer der Film,2015,"['Animation', 'Action', 'Comedy']",120,"['Actas', 'Lantis', 'Bandai Visual', 'Hakuhodo DY Media Partners', 'Hakuhodo DY Music & Pictures', 'movic', 'Q-TEC']",6.991,7.3,0.0,0.0,7.15
295,357400,tt4307880,Digimon Adventure tri. Part 1: Reunion,2015,"['Adventure', 'Action', 'Animation', 'Drama', 'Family', 'Fantasy', 'Science Fiction']",97,"['Toei Animation', 'Typhoon Graphics']",6.803,7.3,0.0,0.0,7.05
296,357390,tt5234428,Ajin: Demi-Human – Compel,2015,"['Animation', 'Action', 'Thriller']",104,['Polygon Pictures'],7.092,7.6,0.0,0.0,7.35
297,357416,tt4872210,High☆Speed!: Free! Starting Days,2015,"['Animation', 'Drama', 'Comedy']",110,"['Animation DO', 'Kyoto Animation', 'Lantis', 'Shochiku']",6.9,7.2,0.0,0.0,7.05
298,373879,tt6609162,One Piece: Adventure of Nebulandia,2015,"['Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy', 'TV Movie']",106,"['Toei Animation', 'Fuji Television Network']",7.7,7.0,0.0,0.0,7.35
299,357786,tt3138698,Kizumonogatari Part 1: Tekketsu,2016,"['Animation', 'Fantasy', 'Drama', 'Mystery', 'Action']",64,['SHAFT'],7.681,7.3,0.0,0.0,7.49
300,372758,tt5463088,Initial D Legend 3: Dream,2016,"['Action', 'Animation', 'Drama']",65,"['Sanzigen', 'LIDENFILMS', 'avex pictures']",7.5,7.1,0.0,0.0,7.3
301,372754,tt5526028,Dou kyu sei – Classmates,2016,"['Romance', 'Animation']",61,"['A-1 Pictures', 'Aniplex', 'HALF H･P STUDIO']",8.3,7.7,0.0,0.0,8.0
302,384345,tt5544700,Doraemon: Nobita and the Birth of Japan,2016,"['Animation', 'Adventure', 'Fantasy', 'Science Fiction', 'Family']",104,"['TOHO', 'TV Asahi', 'Fujiko Productions', 'Shin-Ei Animation', 'Shogakukan-Shueisha Productions', 'ADK']",6.782,6.7,0.0,0.0,6.74
303,372752,tt5216534,Digimon Adventure tri. Part 2: Determination,2016,"['Adventure', 'Action', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",84,['Toei Animation'],7.009,7.1,0.0,0.0,7.05
304,424656,tt5526456,Crayon Shin-chan: Fast Asleep! Dreaming World Big Assault!,2016,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",97,"['Shin-Ei Animation', 'Futabasha', 'ADK', 'TV Asahi']",6.5,6.4,0.0,0.0,6.45
305,374856,tt4954660,Detective Conan: The Darkest Nightmare,2016,"['Animation', 'Mystery', 'Action', 'Crime']",112,"['TMS Entertainment', 'TOHO', 'V1 studio', 'Shogakukan', 'Yomiuri Telecasting Corporation', 'Nippon Television Network Corporation', 'Shogakukan-Shueisha Productions']",6.8,7.0,0.0,0.0,6.9
306,374853,tt5889338,I've Always Liked You,2016,"['Animation', 'Drama', 'Romance']",63,"['Qualia Animation', 'Aniplex', 'MCIP Holdings', 'dentsu', ""MusicRay'n"", 'INCS toenter', 'Lawson', 'Fuji Television Network', 'movic']",7.442,6.6,0.0,0.0,7.02
307,366170,tt4273562,Yu-Gi-Oh!: The Dark Side of Dimensions,2016,"['Adventure', 'Animation']",130,"['Konami', 'Gallop', 'NAS', 'Toei Company', 'Shueisha']",7.6,6.8,4.0,0.0,6.13
308,403064,tt5321682,She and Her Cat: Everything Flows,2016,"['Animation', 'Drama']",28,"['LIDENFILMS', 'CoMix Wave Films', 'Ultra Super Pictures', 'Lantis', 'Tokyo MX', 'TOHO']",6.8,7.4,0.0,0.0,7.1
309,1017204,tt5866090,Naruto OVA 12: The Day Naruto Became Hokage,2016,"['Animation', 'Drama', 'Fantasy']",11,['Aniplex'],7.5,8.2,0.0,0.0,7.85
310,390734,tt5595168,Kingsglaive: Final Fantasy XV,2016,"['Animation', 'Science Fiction', 'Action']",115,"['Visual Works', 'Digic Pictures', 'Pixoloid Studios', 'Square Enix', 'Square USA', 'The Monk Studios', 'Toneplus Animation Studios', 'Stage 6 Films', 'Sony Pictures Home Entertainment']",6.752,6.7,1.3,3.5,4.56
311,382190,tt5889204,Pokémon the Movie: Volcanion and the Mechanical Marvel,2016,"['Family', 'Adventure', 'Animation', 'Fantasy', 'Science Fiction']",97,"['OLM', 'The Pokémon Company', 'Pikachu Project', 'TV Tokyo', 'Shogakukan', 'Shogakukan-Shueisha Productions', 'jeki', 'TakaraTomy']",6.709,5.9,0.0,0.0,6.3
312,381873,tt5923132,Accel World: Infinite Burst,2016,"['Animation', 'Action', 'Science Fiction']",88,"['SUNRISE', 'KADOKAWA', 'EGG FIRM', 'Warner Bros. Japan']",6.62,5.8,0.0,0.0,6.21
313,374205,tt5251328,One Piece Film: GOLD,2016,"['Action', 'Animation', 'Adventure', 'Comedy']",120,"['Fuji Television Network', 'Funimation Global Group', 'Toei Animation', 'Toei Company', 'Shueisha', 'Bandai', 'Bandai Namco Entertainment']",7.2,7.1,6.7,4.3,6.32
314,362584,tt5084196,Kizumonogatari Part 2: Nekketsu,2016,"['Animation', 'Fantasy', 'Mystery']",68,['SHAFT'],8.0,7.6,0.0,0.0,7.8
315,372058,tt5311514,Your Name.,2016,"['Animation', 'Romance', 'Drama']",106,"['CoMix Wave Films', 'TOHO', 'KADOKAWA', 'jeki', 'AMUSE', 'voque ting', 'Lawson Entertainment']",8.5,8.4,9.8,8.1,8.7
316,378064,tt5323662,A Silent Voice: The Movie,2016,"['Animation', 'Drama', 'Romance']",129,"['Kyoto Animation', 'ABC Animation', 'Kodansha', 'Pony Canyon', 'Quaras', 'Shochiku']",8.4,8.2,78/10,7.8,8.13
317,396263,tt5923962,GANTZ:O,2016,"['Animation', 'Science Fiction', 'Action']",95,"['Digital Frontier', 'TOHO', 'dentsu', 'Fields Corporation', 'Jinnan Studio', 'King Records', 'Kyoraku Industrial Holdings', 'Lawson Entertainment']",7.308,7.1,0.0,0.0,7.2
318,378108,tt4769824,In This Corner of the World,2016,"['Drama', 'Animation', 'Romance', 'War', 'History']",130,"['GENCO', 'MAPPA']",7.911,7.8,9.7,7.3,8.18
319,419094,tt6096128,Orange: Future,2016,"['Drama', 'Animation', 'Romance', 'Science Fiction']",63,['Telecom Animation Film'],7.541,7.2,0.0,0.0,7.37
320,431808,tt6475250,Assassination Classroom the Movie: 365 Days' Time,2016,"['Action', 'Animation', 'Comedy', 'Drama']",92,['Lerche'],6.468,5.5,0.0,0.0,5.98
321,472516,tt6327570,The Moment You Fall in Love,2016,"['Drama', 'Animation', 'Romance', 'Comedy']",63,"['Qualia Animation', 'Aniplex', 'MCIP Holdings', 'dentsu', ""MusicRay'n"", 'INCS toenter', 'Lawson', 'movic', 'Fuji Television Network']",7.5,6.0,0.0,0.0,6.75
322,433157,tt6425816,One Piece: Heart of Gold,2016,"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Action']",104,['Toei Animation'],7.455,6.9,0.0,0.0,7.18
323,428142,tt6213810,Fate/Grand Order: First Order,2016,"['Action', 'Fantasy', 'Animation']",72,['Lay-duce'],6.752,5.8,0.0,0.0,6.28
324,362585,tt5084198,Kizumonogatari Part 3: Reiketsu,2017,"['Animation', 'Fantasy', 'Mystery']",83,"['SHAFT', 'Aniplex']",8.0,7.9,0.0,0.0,7.95
325,432131,tt5476944,Black Butler: Book of the Atlantic,2017,"['Animation', 'Action', 'Comedy', 'Fantasy', 'Mystery']",100,['A-1 Pictures'],7.495,7.6,0.0,0.0,7.55
326,357407,tt3615160,Genocidal Organ,2017,"['Thriller', 'Science Fiction', 'Animation', 'Action', 'War']",115,"['Geno Studio', 'Fuji Television Network', 'Aniplex', 'TOHO', 'Kansai Television', 'Kyoraku Industrial Holdings', 'dentsu', 'Sony Music Entertainment (Japan)']",6.628,6.4,0.0,0.0,6.51
327,456611,tt6047974,Lupin the 3rd: Goemon's Blood Spray,2017,"['Animation', 'Action', 'Crime', 'Drama']",54,"['Telecom Animation Film', 'Free As A Bird', 'TFC', 'TMS Entertainment']",7.8,7.3,0.0,0.0,7.55
328,413594,tt5544384,Sword Art Online the Movie: Ordinal Scale,2017,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",119,"['A-1 Pictures', 'Aniplex', 'ASCII Media Works', 'Bandai Namco Entertainment', 'GENCO', 'EGG FIRM']",7.7,7.3,0.0,0.0,7.5
329,428292,tt6344696,Trinity Seven: Eternity Library & Alchemic Girl,2017,"['Animation', 'Action', 'Comedy', 'Fantasy', 'Romance']",55,"['Seven Arcs Pictures', 'avex pictures', 'TV Tokyo', 'KADOKAWA', 'Seven Arcs', 'AT-X', 'Docomo Anime Store', 'Sotsu', 'STUDIO MAUSU']",7.115,6.5,0.0,0.0,6.81
330,422347,tt5468016,Digimon Adventure tri. Part 4: Loss,2017,"['Adventure', 'Action', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",82,['Toei Animation'],7.02,7.0,0.0,0.0,7.01
331,462677,tt5912470,Doraemon: Nobita's Great Adventure in the Antarctic Kachi Kochi,2017,"['Animation', 'Adventure', 'Fantasy', 'Family', 'Science Fiction', 'Comedy']",101,"['Shin-Ei Animation', 'Fujiko Productions', 'Shogakukan', 'TV Asahi', 'Shogakukan-Shueisha Productions', 'ADK']",6.5,6.7,0.0,0.0,6.6
332,428707,tt6728390,Kuroko's Basketball the Movie: Last Game,2017,"['Animation', 'Comedy']",90,"['Bandai Visual', 'Production I.G', 'NAS', 'Shueisha', 'Lantis', 'Banpresto', 'MBS']",7.641,7.7,0.0,0.0,7.67
333,428288,tt5731132,Napping Princess,2017,"['Fantasy', 'Adventure', 'Animation', 'Drama', 'Science Fiction']",111,"['Signal.MD', 'Production I.G', 'KADOKAWA', 'Nippon Television Network Corporation', 'Warner Bros. Japan', 'Hakuhodo DY Media Partners', 'Horipro', 'Hulu Japan', 'Bandai', 'VAP', 'Yomiuri Telecasting Corporation', 'KDDI', 'Lawson Entertainment', 'Sapporo Television Broadcasting Company', 'Miyagi Television Broadcasting', 'Shizuoka Daiichi Television', 'Hiroshima Telecasting', 'Fukuoka Broadcasting System', 'Nishinippon Broadcasting', 'Chukyo TV Broadcasting Company']",6.663,6.3,6.8,6.9,6.67
334,430214,tt6335734,"Night Is Short, Walk On Girl",2017,"['Comedy', 'Romance', 'Animation', 'Fantasy']",93,"['Science SARU', 'Fuji Television Network', 'TOHO', 'BS Fuji', 'KADOKAWA']",7.4,7.5,9.0,6.5,7.6
335,438058,tt5692622,Case Closed: The Crimson Love Letter,2017,"['Animation', 'Crime', 'Mystery', 'Action']",112,"['TMS Entertainment', 'TOHO', 'Shogakukan', 'Yomiuri Telecasting Corporation', 'Nippon Television Network Corporation', 'Shogakukan-Shueisha Productions']",6.487,6.5,0.0,0.0,6.49
336,433422,tt6548966,Fairy Tail: Dragon Cry,2017,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",85,"['A-1 Pictures', 'Kodansha', 'GAGA Corporation', 'Access Bright', 'avex pictures', 'TV Tokyo', 'dentsu']",6.6,6.9,0.0,0.0,6.75
337,436120,tt6452332,Lu Over the Wall,2017,"['Animation', 'Adventure', 'Music', 'Fantasy', 'Family']",112,"['Science SARU', 'Fuji Television Network', 'TOHO', 'BS Fuji']",7.0,6.8,7.8,6.2,6.95
338,409421,tt6574146,BLAME!,2017,"['Action', 'Drama', 'Science Fiction', 'Animation']",106,['Polygon Pictures'],6.517,6.6,0.0,0.0,6.56
339,400136,tt5776208,Resident Evil: Vendetta,2017,"['Action', 'Animation', 'Adventure', 'Science Fiction', 'Horror']",97,"['Capcom', 'Stage 6 Films', 'Marza Animation Planet', 'KADOKAWA']",6.9,6.2,4.3,0.0,5.8
340,431821,tt6580380,The Irregular at Magic High School: The Girl Who Summons the Stars,2017,"['Science Fiction', 'Action', 'Animation', 'Fantasy']",90,"['8bit', 'Aniplex']",6.295,6.7,0.0,0.0,6.5
341,430447,tt6336356,Mary and The Witch's Flower,2017,"['Adventure', 'Animation', 'Family', 'Fantasy']",103,['STUDIO PONOC'],7.129,6.8,8.9,7.4,7.56
342,445030,tt5914996,"No Game, No Life: Zero",2017,"['Adventure', 'Animation', 'Drama', 'Fantasy', 'Romance']",106,"['Madhouse', 'AT-X', 'KADOKAWA', 'movic', 'Frontier Works']",7.8,7.3,0.0,0.0,7.55
343,436931,tt6595896,Pokémon the Movie: I Choose You!,2017,"['Family', 'Animation', 'Adventure', 'Fantasy']",98,"['OLM', 'Pikachu Project', 'Shogakukan', 'Shogakukan-Shueisha Productions', 'TV Tokyo', 'The Pokémon Company', 'TakaraTomy', 'jeki', 'TOHO']",7.069,6.3,3.3,0.0,5.56
344,431819,tt6317962,Fireworks,2017,"['Animation', 'Drama', 'Fantasy', 'Romance']",90,"['SHAFT', 'Aniplex', 'jeki', 'Lawson Entertainment', 'TOHO', ""TOY'S FACTORY"", 'LINE', 'KADOKAWA']",6.6,5.6,4.5,4.0,5.17
345,461763,tt7328556,Haikyu!! The Movie: Battle of Concepts,2017,"['Animation', 'Drama']",88,['Production I.G'],8.02,6.9,0.0,0.0,7.46
346,283984,tt4054952,Fate/stay night: Heaven's Feel I. Presage Flower,2017,"['Action', 'Animation', 'Drama', 'Fantasy', 'Romance']",120,"['ufotable', 'Aniplex', 'Tokyo TV Center', 'TYPE-MOON', 'KADOKAWA']",7.424,7.4,0.0,0.0,7.41
347,452970,tt6470762,Mazinger Z: Infinity,2017,"['Action', 'Science Fiction', 'Animation']",95,"['Toei Animation', 'Toei Company']",6.946,5.9,8.0,0.0,6.95
348,449574,tt5979874,Godzilla: Planet of the Monsters,2017,"['Animation', 'Action', 'Science Fiction']",89,"['Polygon Pictures', 'TOHO']",6.398,6.0,7.5,0.0,6.63
349,460399,tt6915208,"Love, Chunibyo & Other Delusions! Take On Me",2018,"['Animation', 'Comedy', 'Fantasy']",94,"['Kyoto Animation', 'Lantis']",7.717,7.4,0.0,0.0,7.56
350,476292,tt7339826,Maquia: When the Promised Flower Blooms,2018,"['Animation', 'Fantasy', 'Drama', 'Adventure']",115,"['P.A.WORKS', 'Bandai Visual', 'Hakuhodo DY Music & Pictures', 'Lantis', 'Cygames', 'Rakuonsha']",8.155,7.4,10.0,7.2,8.19
351,495925,tt8098546,Doraemon: Nobita's Treasure Island,2018,"['Animation', 'Adventure', 'Fantasy', 'Science Fiction', 'Comedy', 'Family']",108,"['Shin-Ei Animation', 'Fujiko Productions', 'Shogakukan', 'TV Asahi', 'ADK', 'Shogakukan-Shueisha Productions']",7.0,6.6,0.0,0.0,6.8
352,483455,tt8391976,Bungo Stray Dogs: Dead Apple,2018,"['Animation', 'Action', 'Comedy', 'Mystery']",90,"['BONES', 'Lantis', 'KADOKAWA', 'Bandai Namco Arts', 'THE KLOCKWORX', 'KADOKAWA Media House', 'Bandai Namco Live Creative', 'movic', 'Sony Music Communications', 'Glovision', 'WOWOW']",8.1,7.3,0.0,0.0,7.7
353,485942,tt7451284,Batman Ninja,2018,"['Animation', 'Action', 'Science Fiction']",85,"['Kamikaze Douga', 'DC Entertainment', 'Warner Bros. Japan', 'YAMATOWORKS', 'Warner Bros. Animation']",5.859,5.6,8.3,0.0,6.59
