id,title,release_year,budget,revenue,runtime,genres,genre_list,popularity,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
553,Dogville,2003,10000000.0,16690617.0,178.0,"['Crime', 'Drama', 'Thriller']","['Crime', 'Drama', 'Thriller']",9.9313,0.0,0.0,False,False
818937,Listen to Her Heart: The Life and Music of Laurie Beechman,2003,100000.0,0.0,51.0,['Documentary'],['Documentary'],10.2801,0.0,0.0,False,False
616,The Last Samurai,2003,140000000.0,456800000.0,154.0,"['Drama', 'Action', 'War']","['Drama', 'Action', 'War']",8.7218,4.0,0.0,True,False
10623,Cradle 2 the Grave,2003,25000000.0,56500000.0,101.0,"['Action', 'Crime', 'Drama']","['Action', 'Crime', 'Drama']",6.5943,0.0,0.0,False,False
10009,Brother Bear,2003,128000000.0,250397798.0,85.0,"['Adventure', 'Animation', 'Family']","['Adventure', 'Animation', 'Family']",8.2527,1.0,0.0,True,False
19153,The Real Cancun,2003,7500000.0,5345083.0,96.0,['Documentary'],['Documentary'],7.5423,0.0,0.0,False,False
12146,The Missing,2003,60000000.0,38364277.0,135.0,"['Thriller', 'Western', 'Adventure']","['Thriller', 'Western', 'Adventure']",6.7033,0.0,0.0,False,False
322,Mystic River,2003,25000000.0,156800000.0,138.0,"['Thriller', 'Crime', 'Drama', 'Mystery']","['Thriller', 'Crime', 'Drama', 'Mystery']",9.7375,6.0,2.0,True,True
10632,The Hunted,2003,55000000.0,34234008.0,94.0,"['Drama', 'Action', 'Thriller', 'Crime']","['Drama', 'Action', 'Thriller', 'Crime']",6.1514,0.0,0.0,False,False
9341,The Core,2003,60000000.0,74208267.0,136.0,"['Science Fiction', 'Adventure', 'Thriller']","['Science Fiction', 'Adventure', 'Thriller']",8.7154,0.0,0.0,False,False
10601,Peter Pan,2003,100000000.0,121975011.0,113.0,"['Adventure', 'Fantasy', 'Family']","['Adventure', 'Fantasy', 'Family']",10.3529,0.0,0.0,False,False
11647,Infernal Affairs II,2003,125000.0,3208262.0,119.0,"['Action', 'Thriller', 'Crime']","['Action', 'Thriller', 'Crime']",7.6432,0.0,0.0,False,False
10719,Elf,2003,32000000.0,228500000.0,97.0,"['Comedy', 'Family', 'Fantasy']","['Comedy', 'Family', 'Fantasy']",6.6483,0.0,0.0,False,False
4552,A Tale of Two Sisters,2003,15100000.0,1100000.0,115.0,"['Drama', 'Horror', 'Mystery']","['Drama', 'Horror', 'Mystery']",10.0831,0.0,0.0,False,False
4252,Chalte Chalte,2003,4600000.0,18000000.0,175.0,"['Comedy', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']",10.5602,0.0,0.0,False,False
403007,Encuentros,2003,80000.0,0.0,120.0,['Science Fiction'],['Science Fiction'],8.4209,0.0,0.0,False,False
33005,Mimic: Sentinel,2003,10000000.0,0.0,77.0,"['Horror', 'Science Fiction', 'Thriller']","['Horror', 'Science Fiction', 'Thriller']",8.3549,0.0,0.0,False,False
11958,"Not For, or Against (Quite the Contrary)",2003,10000000.0,0.0,111.0,"['Drama', 'Crime']","['Drama', 'Crime']",5.1321,0.0,0.0,False,False
9919,How to Lose a Guy in 10 Days,2003,50000000.0,177500000.0,116.0,"['Comedy', 'Romance']","['Comedy', 'Romance']",6.2595,0.0,0.0,False,False
1584,School of Rock,2003,35000000.0,131100000.0,110.0,"['Comedy', 'Music', 'Family']","['Comedy', 'Music', 'Family']",7.4215,0.0,0.0,False,False
776509,Connecting Dots,2003,500000.0,0.0,95.0,"['Comedy', 'Drama']","['Comedy', 'Drama']",8.0428,0.0,0.0,False,False
10678,Bringing Down the House,2003,20000000.0,132700000.0,105.0,"['Comedy', 'Drama']","['Comedy', 'Drama']",4.7423,0.0,0.0,False,False
4970,Gothika,2003,40000000.0,141591324.0,98.0,"['Horror', 'Thriller', 'Mystery']","['Horror', 'Thriller', 'Mystery']",8.4778,0.0,0.0,False,False
9316,Ong-Bak,2003,1100000.0,20112926.0,105.0,"['Action', 'Crime']","['Action', 'Crime']",7.9279,0.0,0.0,False,False
373379,Betraying Reason,2003,726000.0,0.0,95.0,['Drama'],['Drama'],7.9683,0.0,0.0,False,False
277,Underworld,2003,22000000.0,95708457.0,122.0,"['Fantasy', 'Action', 'Thriller']","['Fantasy', 'Action', 'Thriller']",8.4701,0.0,0.0,False,False
71714,"Lucía, Lucía",2003,2750000.0,0.0,110.0,"['Adventure', 'Drama', 'Comedy', 'Thriller', 'Crime', 'Romance']","['Adventure', 'Drama', 'Comedy', 'Thriller', 'Crime', 'Romance']",4.286,0.0,0.0,False,False
8961,Bad Boys II,2003,130000000.0,273339556.0,146.0,"['Action', 'Crime', 'Comedy']","['Action', 'Crime', 'Comedy']",6.1471,0.0,0.0,False,False
1550,Pieces of April,2003,300000.0,0.0,81.0,"['Comedy', 'Drama']","['Comedy', 'Drama']",4.0703,1.0,0.0,True,False
2289,Cold Mountain,2003,79000000.0,173013509.0,154.0,"['War', 'History', 'Adventure', 'Romance']","['War', 'History', 'Adventure', 'Romance']",10.4387,7.0,1.0,True,True
8698,The League of Extraordinary Gentlemen,2003,78000000.0,179265204.0,110.0,"['Fantasy', 'Action', 'Thriller', 'Science Fiction']","['Fantasy', 'Action', 'Thriller', 'Science Fiction']",6.4718,0.0,0.0,False,False
16072,Gods and Generals,2003,56000000.0,12900000.0,219.0,"['Drama', 'History', 'War']","['Drama', 'History', 'War']",5.1403,0.0,0.0,False,False
30806,Out for a Kill,2003,14000000.0,547333.0,89.0,"['Action', 'Thriller']","['Action', 'Thriller']",4.4406,0.0,0.0,False,False
7090,Ken Park,2003,1300000.0,447741.0,97.0,['Drama'],['Drama'],9.1435,0.0,0.0,False,False
9654,The Italian Job,2003,60000000.0,176070171.0,110.0,"['Action', 'Crime']","['Action', 'Crime']",6.1543,0.0,0.0,False,False
1792,Stuck on You,2003,55000000.0,65784503.0,119.0,['Comedy'],['Comedy'],4.5143,0.0,0.0,False,False
11329,Runaway Jury,2003,60000000.0,80154140.0,127.0,"['Drama', 'Thriller']","['Drama', 'Thriller']",9.1172,0.0,0.0,False,False
673,Harry Potter and the Prisoner of Azkaban,2004,130000000.0,789804554.0,141.0,"['Adventure', 'Fantasy']","['Adventure', 'Fantasy']",19.8323,2.0,0.0,True,False
4935,Howl's Moving Castle,2004,24000000.0,236049757.0,119.0,"['Fantasy', 'Animation', 'Adventure']","['Fantasy', 'Animation', 'Adventure']",23.6091,0.0,0.0,False,False
11036,The Notebook,2004,29000000.0,115600000.0,123.0,"['Romance', 'Drama']","['Romance', 'Drama']",20.3581,0.0,0.0,False,False
652,Troy,2004,175000000.0,497409852.0,163.0,"['War', 'Action', 'History']","['War', 'Action', 'History']",19.2592,1.0,0.0,True,False
70,Million Dollar Baby,2004,30000000.0,216763646.0,132.0,['Drama'],['Drama'],21.5813,7.0,4.0,True,True
8849,Alfie,2004,60000000.0,35060882.0,106.0,"['Comedy', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']",15.8503,0.0,0.0,False,False
2820,Deed Poll,2004,4500.0,0.0,42.0,['Thriller'],['Thriller'],15.5974,0.0,0.0,False,False
9806,The Incredibles,2004,92000000.0,631442092.0,115.0,"['Action', 'Adventure', 'Animation', 'Family']","['Action', 'Adventure', 'Animation', 'Family']",17.6338,4.0,2.0,True,True
7131,Van Helsing,2004,160000000.0,300257475.0,132.0,"['Horror', 'Adventure', 'Action']","['Horror', 'Adventure', 'Action']",15.8065,0.0,0.0,False,False
9470,Kung Fu Hustle,2004,20000000.0,102034104.0,99.0,"['Action', 'Comedy', 'Crime', 'Fantasy']","['Action', 'Comedy', 'Crime', 'Fantasy']",17.6691,0.0,0.0,False,False
12153,White Chicks,2004,37000000.0,113100000.0,109.0,"['Comedy', 'Crime']","['Comedy', 'Crime']",14.1256,0.0,0.0,False,False
9393,Before the Fall,2004,4500000.0,3764219.0,117.0,['Drama'],['Drama'],17.9635,0.0,0.0,False,False
30698,The Five People You Meet In Heaven,2004,20000000.0,0.0,132.0,"['Drama', 'Fantasy', 'Science Fiction', 'TV Movie']","['Drama', 'Fantasy', 'Science Fiction', 'TV Movie']",17.8394,0.0,0.0,False,False
2048,"I, Robot",2004,120000000.0,347234916.0,115.0,"['Action', 'Science Fiction']","['Action', 'Science Fiction']",14.0233,1.0,0.0,True,False
594,The Terminal,2004,60000000.0,219417255.0,128.0,"['Comedy', 'Drama']","['Comedy', 'Drama']",13.1775,0.0,0.0,False,False
809,Shrek 2,2004,150000000.0,935454538.0,92.0,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Romance']","['Animation', 'Family', 'Comedy', 'Fantasy', 'Romance']",13.8602,2.0,0.0,True,False
10555,Shark Tale,2004,75000000.0,367300000.0,90.0,"['Animation', 'Action', 'Comedy', 'Family']","['Animation', 'Action', 'Comedy', 'Family']",13.6457,1.0,0.0,True,False
176,Saw,2004,1200000.0,104045735.0,103.0,"['Horror', 'Mystery', 'Crime']","['Horror', 'Mystery', 'Crime']",11.8078,0.0,0.0,False,False
10625,Mean Girls,2004,17000000.0,130195052.0,97.0,"['Drama', 'Comedy']","['Drama', 'Comedy']",11.6267,0.0,0.0,False,False
25460,Return to Sender,2004,7800000.0,326563.0,109.0,['Drama'],['Drama'],14.4087,0.0,0.0,False,False
