tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
51378,tt0291988,Intimate Stories,2002,"Comedy, Drama",0,1157477,7.281,64
71480,tt0325534,Unborn But Forgotten,2002,Horror,0,1155954,4.5,12
11468,tt0235737,The Salton Sea,2002,"Crime, Drama, Mystery, Thriller",18000000,1073198,6.57,350
59851,tt0303021,Second Name,2002,"Thriller, Mystery, Drama, Horror",2500000,1044665,5.5,45
32625,tt0295238,Personal Velocity,2002,Drama,125000,1025302,5.8,45
68098,tt0328132,One-Way Ticket to Mombasa,2002,"Drama, Comedy",1800000,1011700,6.0,23
12093,tt0300140,Lilya 4-ever,2002,"Drama, Crime",2700000,1007747,7.6,651
78827,tt0337971,Deewangee,2002,"Crime, Drama, Mystery, Thriller, Romance",220000000,992178,6.4,16
35024,tt0304417,Monique,2002,"Comedy, Drama",984936,984936,5.2,41
10133,tt0284978,Cypher,2002,"Thriller, Science Fiction",7500000,898365,6.632,615
18602,tt0300214,Morvern Callar,2002,Drama,0,869820,6.698,184
127443,tt0323425,You Shouldn't Be Here,2002,"Horror, Thriller",0,839943,3.6,7
92384,tt0285869,Pandora's Box,2002,"Drama, Thriller, Romance",800000,833779,5.528,18
15136,tt0300620,So Close,2002,"Action, Thriller",0,810243,6.903,247
54474,tt0326450,The Star,2002,"War, Drama",1300000,809000,5.923,39
4107,tt0280491,Bloody Sunday,2002,"Drama, History",0,773228,7.252,337
31026,tt0346094,Distant,2002,Drama,0,767337,7.11,254
45904,tt0430377,Muhammad: The Last Prophet,2002,"Animation, Family, History",12000000,641473,6.0,22
12779,tt0291502,Swept Away,2002,"Comedy, Romance",10000000,598645,4.734,308
2165,tt0280870,Liberty Stands Still,2002,"Thriller, Action, Drama",11000000,595214,5.396,159
14293,tt0273982,Poolhall Junkies,2002,"Comedy, Drama, Thriller",4000000,563711,6.331,89
49516,tt0264429,Black Mask 2: City of Masks,2002,"Action, Adventure, Drama, Science Fiction",6000000,529322,4.5,59
69418,tt0352757,Raja,2002,Drama,500000,500000,4.0,7
63265,tt0303267,The Last Train,2002,"Drama, Action, Western, Adventure, Comedy",2500000,481199,6.682,11
20861,tt0212604,Tully,2002,Drama,0,466664,6.22,25
13439,tt0212132,The Tracker,2002,"Drama, History",0,442000,6.803,61
36928,tt0304120,H,2002,"Drama, Thriller, Mystery",0,438227,6.3,43
10605,tt0272147,Vampires: Los Muertos,2002,"Horror, Thriller, Action",0,429189,5.355,249
83505,tt0315850,El bonaerense,2002,"Drama, Crime",0,410474,6.764,36
22707,tt0303297,Amandla! A Revolution in Four-Part Harmony,2002,Documentary,0,405331,6.4,7
35265,tt0322725,The Embalmer,2002,"Drama, Romance",0,384336,7.194,250
9082,tt0311320,Blind Spot: Hitler's Secretary,2002,Documentary,0,378931,6.4,23
256231,tt0330193,Dangerous People,2002,"Comedy, Crime, Action",5200000,355974,3.3,7
30301,tt0267261,Black Angel,2002,"Drama, Romance, Thriller",0,347548,5.3,81
41955,tt0325005,Antikiller,2002,"Action, Crime",5000000,340312,4.588,34
66085,tt0352622,Sky. Plane. Girl.,2002,"Romance, Drama",0,314195,5.0,14
9719,tt0265591,Pumpkin,2002,"Comedy, Drama, Romance",0,308108,5.8,116
15850,tt0250067,The Trip,2002,"Drama, Romance",0,306567,6.102,44
125948,tt0318523,A Red Bear,2002,"Crime, Drama, Thriller, Action",0,302506,7.071,35
17774,tt0298296,Derailed,2002,"Action, Thriller",11000000,297835,5.15,304
70527,tt0331282,A Little Night Music,2002,Comedy,200000,286000,7.143,14
52290,tt0449832,Bana Şans Dile,2002,"Drama, Action, Thriller",0,281517,6.0,8
21118,tt0219400,Waking Up in Reno,2002,"Comedy, Romance",0,261603,4.966,102
1956,tt0302674,Gerry,2002,"Drama, Adventure, Mystery",3500000,255000,6.067,343
50123,tt0284494,Skins,2002,"Action, Drama",0,249204,5.2,16
81229,tt0338086,Hacker,2002,"Comedy, Action",0,244922,4.2,23
24488,tt0284034,Demonlover,2002,"Drama, Mystery, Thriller",7900000,231800,5.7,117
312927,tt0353725,Meesa Madhavan,2002,"Action, Comedy, Drama",0,225000,7.558,26
15395,tt0282698,Love Liza,2002,"Comedy, Drama",1000000,223426,6.394,118
8439,tt0340468,Bus 174,2002,"Documentary, Crime",0,217201,7.301,141
108307,tt0289152,Desire,2002,"Drama, Romance",0,214000,5.2,15
56789,tt0212797,The Bankers of God: The Calvi Affair,2002,"Thriller, Drama",7000000,211848,6.1,25
40002,tt0291395,Okay,2002,"Comedy, Drama, Romance",0,210565,5.8,20
97070,tt0283383,Inheritance,2002,Drama,0,189118,6.636,11
89594,tt0303586,Andreas Hofer,2002,"War, History",0,176068,8.0,5
94996,tt0302889,On_Line,2002,"Drama, Romance",0,167544,4.692,13
39541,tt0286162,Stolen Summer,2002,"Drama, Family, Comedy",1800000,163348,6.221,34
72996,tt0332605,House of Fools,2002,"Drama, Romance, War",2500000,157613,5.8,49
251053,tt0314871,Washington Heights,2002,"Drama, Romance",210000,156021,7.3,5
54580,tt0319769,Mondays in the Sun,2002,"Drama, Comedy",4000000,146402,7.219,247
10751,tt0246692,Old Men in New Cars: In China They Eat Dogs II,2002,"Action, Comedy, Crime, Thriller",0,144192,6.744,119
25853,tt0285728,Dahmer,2002,"Crime, Drama, Thriller, Horror",250000,144008,5.271,319
28028,tt0305973,Sonny,2002,"Crime, Drama",4000000,132221,5.1,56
266167,tt0192237,Leo & Claire,2002,"Drama, Romance",0,125734,6.813,8
67813,tt0300576,Tristan & Isolde,2002,"Animation, Adventure, Family, Romance",0,119335,5.2,13
41890,tt0260695,Hometown Legend,2002,"Comedy, Drama, Family",2000000,112000,4.0,8
14633,tt0301978,Ten,2002,Drama,0,105656,7.3,133
35712,tt0287963,Secret Things,2002,Drama,0,105090,5.712,106
222560,tt0291022,Aro Tolbukhin in the Mind of a Killer,2002,Drama,0,103908,5.5,14
18072,tt0308772,Pure,2002,Drama,0,102471,6.12,49
49872,tt0293832,Hansel & Gretel,2002,"Comedy, Family, Fantasy",0,100477,5.4,42
51927,tt0334416,Stevie,2002,"Documentary, Drama",0,97000,6.919,31
10855,tt0341495,Naked Weapon,2002,"Action, Drama, Thriller",0,78340,6.8,396
33693,tt0327753,Funny Ha Ha,2002,"Drama, Comedy, Romance",0,76901,6.17,50
5493,tt0339579,Returner,2002,"Action, Adventure, Science Fiction",0,73060,6.52,247
17906,tt0246592,Dummy,2002,"Comedy, Drama, Romance",0,71646,5.9,95
34081,tt0284929,Ted Bundy,2002,"Crime, Horror",1200000,68716,5.7,168
29135,tt0248190,No Such Thing,2002,"Fantasy, Drama, Horror",5000000,62703,6.0,67
27915,tt0321376,Cuban Rafters,2002,Documentary,0,62153,6.3,15
25649,tt0307213,Bad Guy,2002,"Drama, Thriller, Romance",0,62100,6.539,297
