tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
129151,tt1622984,Gobeklitepe: The World's First Temple,2010,Documentary,0,0,6.6,7
128847,tt1740801,Lesson Plan,2010,Documentary,0,0,6.8,8
128765,tt1868084,Tord and Tord,2010,"Animation, Drama",0,0,5.9,14
128602,tt1684897,Killing in the Name,2010,Documentary,0,0,7.2,5
128362,tt1779491,The Accordion,2010,Drama,0,0,5.444,9
128306,tt1836080,Our Man,2010,Drama,0,0,6.1,7
128282,tt1483373,Frontier Blues,2010,Drama,0,0,7.0,7
128242,tt1859515,Joann Sfar (drawings),2010,Documentary,0,0,6.5,5
128015,tt1834824,Shadows and Faces,2010,"Drama, History",0,0,5.4,7
127724,tt1754945,The Secret,2010,"Mystery, Fantasy, Horror",0,0,6.7,11
127717,tt1525359,Freshman Father,2010,"Drama, TV Movie",0,0,6.627,51
