title,release_date,budget,revenue,runtime,genres,release_year,title_clean,film,year_film,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
Harry Potter and the Order of the Phoenix,2007-07-08,150000000.0,938212738.0,138.0,"['Adventure', 'Fantasy']",2007,harry potter and the order of the phoenix,,,0.0,0.0,False,False
Pirates of the Caribbean: At World's End,2007-05-19,300000000.0,961691209.0,169.0,"['Adventure', 'Fantasy', 'Action']",2007,pirates of the caribbean at worlds end,Pirates of the Caribbean: At World's End,2007.0,2.0,0.0,True,False
Ratatouille,2007-06-28,150000000.0,623726000.0,111.0,"['Animation', 'Comedy', 'Family', 'Fantasy']",2007,ratatouille,Ratatouille,2007.0,5.0,1.0,True,True
Shooter,2007-03-22,61000000.0,95700000.0,124.0,"['Drama', 'Action', 'Thriller']",2007,shooter,,,0.0,0.0,False,False
Lost in Beijing,2007-09-26,0.0,5095696.0,112.0,"['Romance', 'Drama']",2007,lost in beijing,,,0.0,0.0,False,False
Enchanted,2007-11-20,85000000.0,340487652.0,107.0,"['Comedy', 'Family', 'Fantasy', 'Romance']",2007,enchanted,Enchanted,2007.0,3.0,0.0,True,False
300,2007-03-07,65000000.0,456082343.0,116.0,"['Action', 'Adventure', 'War']",2007,300,,,0.0,0.0,False,False
No Country for Old Men,2007-11-09,25000000.0,171627166.0,122.0,"['Crime', 'Thriller', 'Western']",2007,no country for old men,No Country for Old Men,2007.0,8.0,4.0,True,True
Atonement,2007-02-27,30000000.0,131016624.0,123.0,"['Drama', 'Romance']",2007,atonement,Atonement,2007.0,7.0,1.0,True,True
Shrek the Third,2007-05-17,160000000.0,813367380.0,93.0,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",2007,shrek the third,,,0.0,0.0,False,False
There Will Be Blood,2007-12-26,25000000.0,77208711.0,158.0,['Drama'],2007,there will be blood,There Will Be Blood,2007.0,8.0,2.0,True,True
Norbit,2007-02-08,10000000.0,159814490.0,102.0,['Comedy'],2007,norbit,Norbit,2007.0,1.0,0.0,True,False
Zodiac,2007-03-02,65000000.0,84785914.0,157.0,"['Crime', 'Mystery', 'Thriller']",2007,zodiac,,,0.0,0.0,False,False
28 Weeks Later,2007-04-26,15000000.0,72304846.0,99.0,"['Horror', 'Thriller', 'Science Fiction']",2007,28 weeks later,,,0.0,0.0,False,False
Japan Ghost Stories 1,2007-04-12,0.0,0.0,0.0,[],2007,japan ghost stories 1,,,0.0,0.0,False,False
