ID;title;rating;release_date;original_language;IMDb_ID;genre;plot;box_office_domestic;box_office_worldwide;extracted_plotpoints;Used_Plotphrases;Best_Match_Phrase;Similarity_Score
981;Bubba Ho-tep;6.488;2002-06-09;en;tt0281686;Comedy, Fantasy, Horror;"Based on the Bram Stoker Award nominee short story by cult author Joe R. Lansdale, Bubba Ho-tep tells the ""true"" story of what really did become of Elvis Presley. We find Elvis (Bruce Campbell) as an elderly resident in an East Texas rest home, who switched identities with an Elvis impersonator years before his ""death"", then missed his chance to switch back. Elvis teams up with Jack (Ossie Davis), a fellow nursing home resident who thinks that he is actually President John F. Kennedy, and the two valiant old codgers sally forth to battle an evil Egyptian entity who has chosen their long-term care facility as his happy hunting grounds.";$1,239,183;1239541;['did elvis presley', 'presley elvis', 'elvis presley elvis', 'elvis presley', 'did elvis', 'identities elvis', 'switch elvis', 'presley elvis bruce', 'really did elvis', 'elvis teams jack', 'identities elvis impersonator', 'elvis bruce campbell', 'elvis impersonator', 'switched identities elvis', 'elvis impersonator years', 'elvis bruce', 'chance switch elvis', 'bubba ho', 'switch elvis teams', 'elvis teams', 'bubba ho tep', 'jack ossie davis', 'jack ossie', 'bruce campbell elderly', 'kennedy valiant old', 'old codgers sally', 'lansdale bubba ho', 'campbell elderly resident', 'nominee short story', 'story cult author', 'tells true story', 'short story', 'joe lansdale bubba', 'texas rest home', 'president john kennedy', 'fellow nursing home', 'impersonator years death', 'years death missed', 'nursing home resident', 'davis fellow nursing', 'true story really', 'based bram stoker', 'elderly resident', 'home resident thinks', 'short story cult', 'teams jack ossie', 'years death', 'author joe', 'rest home', 'evil egyptian', 'sally forth', 'valiant old codgers', 'death missed chance', 'actually president john', 'thinks actually president', 'home switched identities', 'joe lansdale', 'award nominee', 'rest home switched', 'nominee short', 'term care', 'stoker award', 'long term', 'chosen long', 'tells true', 'tep tells true', 'resident east', 'egyptian entity chosen', 'care facility', 'really did', 'happy hunting', 'hunting grounds', 'entity chosen', 'forth battle', 'facility happy'];False;old son;0.34761860966682434
982;Arcadian;6.037;2024-04-12;en;tt22939186;Action, Drama, Horror;A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.;$828,919;1235594;['sons fight survive', 'teenage sons fight', 'sons fight', 'survive remote farmhouse', 'farmhouse end world', 'fight survive remote', 'father twin teenage', 'twin teenage sons', 'remote farmhouse end', 'father twin', 'remote farmhouse', 'fight survive', 'farmhouse end', 'teenage sons', 'twin teenage', 'end world', 'survive remote'];False;fight survival;0.4107200503349304
983;Cut Off;6.604;2018-10-11;de;tt3645988;Action, Crime, Horror;Thriller set in the world of Forensic Pathology. Medical examiner Paul Herzfeld finds a capsule in the head of a heavily mutilated corpse, containing a phone number and single word: the name of his daughter.;;1228051;['world forensic pathology', 'forensic pathology medical', 'herzfeld finds capsule', 'forensic pathology', 'mutilated corpse containing', 'thriller set world', 'set world forensic', 'mutilated corpse', 'thriller set', 'examiner paul herzfeld', 'heavily mutilated corpse', 'paul herzfeld finds', 'medical examiner paul', 'corpse containing phone', 'corpse containing', 'world forensic', 'pathology medical examiner', 'pathology medical', 'medical examiner', 'herzfeld finds', 'finds capsule head', 'finds capsule', 'examiner paul', 'paul herzfeld', 'head heavily mutilated', 'capsule head', 'heavily mutilated', 'set world', 'capsule head heavily', 'word daughter', 'containing phone', 'single word daughter', 'single word', 'containing phone number', 'head heavily', 'phone number', 'number single word', 'phone number single', 'number single'];False;serial killer;0.46430590748786926
984;Repentance;4.826;2014-02-28;en;tt2012665;Drama, Horror, Thriller;An earnest life-coach/author, Thomas Carter, is mysteriously abducted by a deranged client, Angel Sanchez, who delves into Thomas' teachings and uses his spiritual messages of Karma - action and reaction (Vipaka), against him to terrorize him and his family for their past sins.;$1,189,612;1189612;['thomas carter mysteriously', 'thomas carter', 'author thomas carter', 'carter mysteriously abducted', 'carter mysteriously', 'coach author thomas', 'deranged client angel', 'client angel sanchez', 'earnest life coach', 'angel sanchez', 'thomas teachings', 'earnest life', 'delves thomas teachings', 'coach author', 'client angel', 'life coach author', 'author thomas', 'angel sanchez delves', 'abducted deranged client', 'mysteriously abducted', 'vipaka terrorize', 'abducted deranged', 'reaction vipaka terrorize', 'mysteriously abducted deranged', 'life coach', 'vipaka terrorize family', 'action reaction vipaka', 'reaction vipaka', 'thomas teachings uses', 'spiritual messages karma', 'delves thomas', 'spiritual messages', 'sanchez delves thomas', 'deranged client', 'messages karma action', 'teachings uses spiritual', 'karma action', 'teachings uses', 'karma action reaction', 'uses spiritual messages', 'messages karma', 'uses spiritual', 'terrorize family past', 'terrorize family', 'past sins', 'sanchez delves', 'family past sins', 'action reaction', 'family past'];False;supernatural events;0.34242260456085205
985;When the Lights Went Out;5.664;2012-01-31;en;tt1743993;Horror;"Yorkshire, 1974. Britain is in recession, the oil crisis and black outs loom large. The Maynard family move into their dream house, only to find a ""presence"" already living there. Len, Jenny and their daughter Sally must struggle to keep their already-fragile family together as they are attacked by poltergeists. Soon it becomes apparent that Sally is their main focus of attention. The house becomes a living nightmare. They must exorcise the evil spirits for them to survive.";;1181929;['maynard family dream', 'living len jenny', 'house living nightmare', 'yorkshire 1974', 'yorkshire 1974 britain', 'maynard family', 'jenny daughter sally', 'len jenny daughter', 'living len', 'large maynard family', 'family dream house', 'living nightmare', 'dream house', 'dream house presence', 'len jenny', 'daughter sally struggle', 'daughter sally', 'jenny daughter', 'sally struggle', 'sally struggle fragile', 'house living', 'family dream', 'living nightmare exorcise', 'nightmare exorcise evil', 'attention house living', 'family attacked', 'house presence living', 'apparent sally', 'struggle fragile family', 'house presence', 'fragile family', 'fragile family attacked', 'soon apparent sally', 'britain recession', 'britain recession oil', 'sally main focus', '1974 britain recession', 'nightmare exorcise', 'sally main', 'attention house', 'family attacked poltergeists', 'apparent sally main', 'evil spirits survive', 'presence living len', '1974 britain', 'large maynard', 'spirits survive', 'evil spirits', 'exorcise evil spirits', 'oil crisis black', 'oil crisis', 'recession oil crisis', 'crisis black outs', 'crisis black', 'focus attention house', 'recession oil', 'loom large maynard', 'struggle fragile', 'exorcise evil', 'presence living', 'attacked poltergeists', 'attacked poltergeists soon', 'poltergeists soon apparent', 'black outs', 'poltergeists soon', 'soon apparent', 'black outs loom', 'main focus', 'outs loom', 'focus attention', 'main focus attention', 'outs loom large', 'loom large'];True;turns nightmare;0.5627307295799255
986;The Remaining;6.069;2014-08-25;en;tt2714380;Drama, Fantasy, Horror;A supernatural thriller that addresses questions of life, love and belief against an apocalyptic backdrop. A group of close friends gather for a wedding, but the celebration is shattered by a series of cataclysmic events and enemies foretold by biblical end-times prophecies. The survivors face a horrifying, uncertain future as they scramble for safety, but as their world collapses around them in chaos and terror will they choose real life through faith, or just try to survive?;$1,169,603;1169603;['love belief apocalyptic', 'belief apocalyptic backdrop', 'belief apocalyptic', 'supernatural thriller', 'prophecies survivors', 'collapses chaos terror', 'real life faith', 'horrifying uncertain future', 'prophecies survivors face', 'life faith', 'supernatural thriller addresses', 'times prophecies survivors', 'terror choose real', 'chaos terror choose', 'chaos terror', 'biblical end', 'world collapses chaos', 'apocalyptic backdrop', 'life faith just', 'life love belief', 'apocalyptic backdrop group', 'survivors face horrifying', 'end times prophecies', 'thriller addresses questions', 'horrifying uncertain', 'biblical end times', 'terror choose', 'foretold biblical end', 'collapses chaos', 'world collapses', 'choose real life', 'enemies foretold biblical', 'love belief', 'times prophecies', 'foretold biblical', 'faith just try', 'uncertain future', 'faith just', 'survivors face', 'cataclysmic events enemies', 'end times', 'shattered series', 'celebration shattered series', 'real life', 'safety world collapses', 'wedding celebration shattered', 'shattered series cataclysmic', 'questions life', 'thriller addresses', 'try survive', 'life love', 'events enemies', 'choose real', 'cataclysmic events', 'series cataclysmic events', 'events enemies foretold', 'wedding celebration', 'questions life love', 'gather wedding', 'friends gather wedding', 'celebration shattered', 'face horrifying uncertain', 'addresses questions life', 'future scramble', 'safety world', 'enemies foretold', 'face horrifying', 'series cataclysmic', 'friends gather', 'scramble safety world', 'backdrop group', 'close friends', 'group close', 'addresses questions', 'just try'];True;supernatural events;0.581852912902832
987;The Lords of Salem;5.449;2013-04-18;en;tt1731697;Horror, Thriller;"Heidi, a blond rock chick, DJs at a local radio station, and together with the two Hermans (Whitey and Munster) forms part of the ""Big H Radio Team."" A mysterious wooden box containing a vinyl record arrives for Heidi, a gift of the Lords. She assumes it's a rock band on a mission to spread their word. As Heidi and Whitey play the Lords' record, it starts to play backwards, and Heidi experiences a flashback to a past trauma. Later, Whitey plays the Lords' record, dubbing them the Lords of Salem, and to his surprise, the record plays normally and is a massive hit with his listeners. The arrival of another wooden box from the Lords presents the Big H team with free tickets, posters and records to host a gig in Salem. Soon, Heidi and her cohorts are far from the rock spectacle they're expecting. The original Lords of Salem are returning and they're out for blood.";$1,165,882;1165882;['wooden box lords', 'host gig salem', 'box lords', 'dubbing lords salem', 'lords salem surprise', 'plays lords record', 'lords record dubbing', 'box lords presents', 'lords presents big', 'gig salem', 'original lords salem', 'gig salem soon', 'heidi gift lords', 'lords salem returning', 'record arrives heidi', 'lords record starts', 'whitey play lords', 'lords assumes rock', 'play lords', 'salem soon heidi', 'dubbing lords', 'expecting original lords', 'lords presents', 'salem returning blood', 'salem surprise record', 'listeners arrival wooden', 'big radio team', 'djs local radio', 'mysterious wooden box', 'lords assumes', 'heidi whitey play', 'arrives heidi', 'team mysterious wooden', 'word heidi whitey', 'station hermans whitey', 'radio team mysterious', 'vinyl record arrives', 'chick djs', 'gift lords assumes', 'heidi experiences flashback', 'radio station hermans', 'massive hit listeners', 'forms big radio', 'arrival wooden', 'host gig', 'box containing', 'heidi cohorts', 'play backwards heidi', 'whitey munster', 'blond rock', 'posters records', 'spread word heidi', 'record plays', 'later whitey plays', 'rock spectacle expecting', 'heidi blond', 'records host', 'assumes rock band', 'rock band mission', 'rock chick', 'presents big team', 'containing vinyl', 'far rock', 'forms big', 'normally massive hit', 'munster forms', 'mission spread', 'team free', 'free tickets posters', 'plays normally', 'spread word', 'starts play', 'experiences flashback past', 'trauma later', 'cohorts far'];False;blood soaked;0.3784306049346924
988;Over Your Dead Body;6.04;2014-08-23;ja;tt2916416;Drama, Horror, Thriller;A star, Miyuki Goto plays Oiwa, the protagonist in a new play based on the ghost story Yotsuya Kaidan. She pulls some strings to get her lover, Kosuke Hasegawa cast in the play, even though he's a relatively unknown actor. Other performers Rio Asahina and Jun Suzuki lust after Miyuki. Off stage the cast's possessive love and obsessions exist as reality. Trapped between the play and reality, the cast's feelings for each other are amplified. When it becomes clear that love isn't meant to be both on and off stage, love turns into a grudge and crosses the blurred line between reality and fantasy.;;1164010;['miyuki goto plays', 'star miyuki goto', 'lover kosuke hasegawa', 'plays oiwa protagonist', 'kosuke hasegawa cast', 'goto plays oiwa', 'hasegawa cast play', 'miyuki goto', 'star miyuki', 'lust miyuki', 'lust miyuki stage', 'oiwa protagonist', 'cast feelings', 'plays oiwa', 'lover kosuke', 'kosuke hasegawa', 'oiwa protagonist new', 'cast possessive love', 'suzuki lust miyuki', 'hasegawa cast', 'miyuki stage cast', 'cast play', 'reality cast feelings', 'jun suzuki lust', 'miyuki stage', 'cast feelings amplified', 'goto plays', 'play reality cast', 'protagonist new play', 'story yotsuya kaidan', 'stage love turns', 'stage love', 'strings lover kosuke', 'relatively unknown actor', 'yotsuya kaidan', 'asahina jun', 'meant stage love', 'performers rio asahina', 'unknown actor performers', 'yotsuya kaidan pulls', 'love isn meant', 'cast play relatively', 'love isn', 'love obsessions exist', 'ghost story yotsuya', 'reality trapped play', 'stage cast', 'love turns grudge', 'kaidan pulls', 'stage cast possessive', 'suzuki lust', 'possessive love obsessions', 'play based ghost', 'actor performers rio', 'love turns', 'actor performers', 'clear love isn', 'kaidan pulls strings', 'play based', 'rio asahina', 'play reality', 'line reality fantasy', 'reality fantasy', 'play relatively unknown', 'new play', 'ghost story', 'feelings amplified', 'pulls strings lover', 'exist reality', 'turns grudge', 'blurred line reality', 'relatively unknown', 'isn meant', 'crosses blurred', 'amplified clear'];False;supernatural events;0.30328088998794556
989;Dark Woods;5.798;2003-02-21;no;tt0356176;Adventure, Horror, Mystery;"The crew of the TV show ""Real TV"" with controlling boss Gunnar on the front line will soon begin production of a reality show for which participants are selected to survive in the wilderness. Gunnar has gathered a production team of four people: The friends Lasse and Per , the Swedish girl Elin and the new girl Sara. To test his new employees, Gunnar takes them to a log cabin where he used to spend summers as a kid. The cabin is located far away from civilisation, hidden in the dark, mysterious woods. The team has to make it through a weekend, finding food that nature has to offer, and neither cellular phones nor cigarettes are allowed. When Lasse and Per find a dead body in a lake near the cottage, the group is being tested. Gunnar is suggesting that they should continue the weekend without mentioning anything to Sara and Elin about what they found. But soon the team experiences some escalating incidents which lead to paranoia, accusations and mistrust.";;1156728;['people friends lasse', 'crew tv real', 'wilderness gunnar gathered', 'friends lasse swedish', 'friends lasse', 'group tested gunnar', 'crew tv', 'survive wilderness gunnar', 'gunnar gathered production', 'new employees gunnar', 'cottage group tested', 'employees gunnar takes', 'gunnar gathered', 'tested gunnar suggesting', 'gunnar suggesting', 'cottage group', 'people friends', 'lasse swedish', 'team people friends', 'mysterious woods team', 'lasse dead body', 'gunnar takes', 'gunnar suggesting continue', 'allowed lasse dead', 'boss gunnar line', 'controlling boss gunnar', 'production team people', 'real tv', 'reality participants', 'near cottage group', 'swedish girl elin', 'gunnar takes log', 'real tv controlling', 'elin new girl', 'tv controlling boss', 'soon team experiences', 'mysterious woods', 'team make', 'kid cabin', 'team make weekend', 'sara elin', 'participants selected survive', 'begin production reality', 'sara test new', 'woods team make', 'group tested', 'dead body', 'hidden dark', 'survive wilderness', 'elin soon team', 'girl sara', 'lake near cottage', 'gathered production', 'weekend mentioning sara', 'soon begin production', 'weekend finding', 'new girl', 'cabin located far', 'test new employees', 'cabin used spend', 'soon team', 'takes log cabin', 'spend summers kid', 'line soon begin', 'far away', 'finding food', 'incidents lead', 'experiences escalating', 'suggesting continue', 'paranoia accusations mistrust', 'cellular phones', 'takes log', 'nature offer', 'cigarettes allowed', 'away civilisation'];False;dead bodies;0.4573248624801636
990;The Jack in the Box: Awakening;6.253;2022-02-24;en;tt12764628;Horror;When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.;;1147001;['jack box', 'jack box opened', 'vintage jack box', 'box opened dying', 'dying woman enters', 'opened dying woman', 'demon illness cured', 'deal demon illness', 'dying woman', 'demon illness', 'vintage jack', 'enters deal demon', 'deal demon', 'opened dying', 'cured return', 'illness cured', 'illness cured return', 'woman enters deal', 'cured return helping', 'box opened', 'woman enters', 'return helping', 'innocent victims', 'helping claim innocent', 'claim innocent victims', 'enters deal', 'helping claim', 'return helping claim', 'claim innocent'];False;serial killer;0.36041074991226196
991;Surveillance;5.997;2008-02-08;en;tt0409345;Crime, Drama, Mystery;Grisly murders occur in a small town. Two FBI agents arrive, set up their cameras in three interview rooms, and set up interviews of three survivors: a girl of about nine, a foul-mouthed cop with a bandaged hand, and a young woman of about 20 who uses drugs. Each tells their story as the male FBI agent listens and watches from a separate room: the girl draws for and talks to the female agent, the local chief interviews the injured cop, and two officers interview the young woman. As they tell their stories, some of which are inaccurate and self-serving, we see what actually happened the day before. Can the agents or anyone else put the pieces together?;$27,349;1138322;['grisly murders occur', 'grisly murders', 'fbi agents arrive', 'murders occur', 'fbi agent listens', 'story male fbi', 'fbi agents', 'murders occur small', 'town fbi agents', 'agents arrive', 'talks female agent', 'agents arrive set', 'agent listens watches', 'agent listens', 'happened day agents', 'agents pieces', 'interviews injured cop', 'set interviews survivors', 'fbi agent', 'male fbi agent', 'interviews survivors', 'female agent', 'set cameras interview', 'interviews survivors girl', 'chief interviews injured', 'officers interview', 'town fbi', 'female agent local', 'small town fbi', 'cop officers interview', 'cameras interview', 'cameras interview rooms', 'day agents pieces', 'drugs tells story', 'injured cop officers', 'officers interview young', 'interviews injured', 'set cameras', 'agent local', 'rooms set interviews', 'agent local chief', 'survivors girl foul', 'set interviews', 'tells story male', 'cop officers', 'cop bandaged', 'local chief interviews', 'arrive set cameras', 'woman tell stories', 'mouthed cop', 'stories inaccurate', 'serving actually happened', 'listens watches', 'tell stories', 'watches separate', 'interview young woman', 'occur small', 'separate room', 'draws talks', 'talks female', 'girl foul mouthed', 'happened day', 'woman tell', '20 uses drugs', 'bandaged hand young', 'room girl', 'room girl draws', 'actually happened', 'uses drugs', 'self serving', 'inaccurate self', 'arrive set', 'small town', 'young woman 20', '20 uses'];True;small town;0.5479575395584106
992;Cell;4.705;2016-07-06;en;tt0775440;Action, Adventure, Horror;When a strange signal pulsates through all cell phone networks worldwide, it starts a murderous epidemic of epic proportions when users become bloodthirsty creatures, and a group of people in New England are among the survivors to deal with the ensuing chaos after.;;1133031;['murderous epidemic', 'starts murderous epidemic', 'murderous epidemic epic', 'cell phone networks', 'worldwide starts murderous', 'cell phone', 'phone networks worldwide', 'ensuing chaos', 'phone networks', 'epidemic epic', 'pulsates cell phone', 'users bloodthirsty creatures', 'epidemic epic proportions', 'new england survivors', 'networks worldwide starts', 'people new england', 'bloodthirsty creatures', 'strange signal', 'survivors deal ensuing', 'starts murderous', 'networks worldwide', 'deal ensuing chaos', 'users bloodthirsty', 'bloodthirsty creatures group', 'england survivors', 'signal pulsates cell', 'signal pulsates', 'people new', 'strange signal pulsates', 'survivors deal', 'group people new', 'new england', 'creatures group people', 'england survivors deal', 'worldwide starts', 'group people', 'creatures group', 'proportions users bloodthirsty', 'pulsates cell', 'deal ensuing', 'epic proportions users', 'epic proportions', 'proportions users'];False;things start happening;0.44645774364471436
993;Manhunt;4.961;2008-01-04;no;tt1054115;Horror;The summer of 1974. Four young friends have planned a relaxing weekend out in the woods. At a remote truck stop they pick up a hitchhiker, who only after a short ride demands that they stop the car. They are terrified. Suddenly they are all ambushed and left unconscious. They wake up deep in the woods with no one around but the sound of a hunting horn. Someone is out hunting, and they are the prey;;1131001;['weekend woods', '1974 young friends', 'hunting horn hunting', 'horn hunting', 'woods remote truck', 'hitchhiker short', 'hitchhiker short ride', 'stop pick hitchhiker', 'woods sound hunting', 'summer 1974 young', 'weekend woods remote', 'relaxing weekend woods', 'pick hitchhiker', 'summer 1974', 'hunting prey', 'horn hunting prey', 'pick hitchhiker short', 'wake deep woods', 'terrified suddenly ambushed', 'hunting horn', 'stop car terrified', 'young friends planned', 'friends planned relaxing', 'friends planned', 'ambushed left unconscious', 'car terrified', 'car terrified suddenly', 'truck stop pick', 'woods remote', 'truck stop', 'suddenly ambushed', 'woods sound', '1974 young', 'suddenly ambushed left', 'young friends', 'remote truck stop', 'stop car', 'deep woods', 'ambushed left', 'remote truck', 'sound hunting horn', 'sound hunting', 'relaxing weekend', 'unconscious wake', 'left unconscious', 'left unconscious wake', 'terrified suddenly', 'deep woods sound', 'demands stop car', 'planned relaxing weekend', 'planned relaxing', 'unconscious wake deep', 'ride demands stop', 'ride demands', 'short ride', 'short ride demands', 'stop pick', 'wake deep', 'demands stop'];False;years earlier;0.43587106466293335
994;Man-Thing;4.312;2005-04-21;en;tt0290747;Action, Adventure, Horror;Sheriff Kyle Williams comes to Bywater to replace the missing sheriff and he learns from his deputy Fraser that there are other 47 missing persons in the area. He is summoned by the oil tycoon Fred Schist to repress a strike led by the schoolteacher Teri Richards in his company. He also learns that Schist claims that he bought the native sacred land Dark Waters from the Indian Ted Sallis that vanished with the money. Further, a man called Rene Laroque is sabotaging the facility. Kyle gets closer to Teri while he looks for Laroque, and soon he realizes that something in the swamp seems to be protecting Dark Waters.;;1123136;['sheriff kyle williams', 'land dark waters', 'sheriff kyle', 'missing sheriff learns', 'missing sheriff', 'dark waters indian', 'swamp protecting dark', 'replace missing sheriff', 'protecting dark waters', 'dark waters', 'kyle williams', 'realizes swamp protecting', 'sheriff learns', 'realizes swamp', 'williams comes bywater', 'soon realizes swamp', 'land dark', 'bywater replace missing', 'waters indian ted', 'sacred land dark', 'swamp protecting', 'kyle williams comes', 'waters indian', 'bywater replace', 'sheriff learns deputy', 'sabotaging facility kyle', 'comes bywater replace', 'summoned oil tycoon', 'comes bywater', 'facility kyle gets', 'kyle gets', 'learns deputy fraser', 'summoned oil', 'sacred land', 'kyle gets closer', 'deputy fraser 47', 'learns deputy', 'missing persons', 'vanished money man', 'fraser 47 missing', 'area summoned oil', 'tycoon fred schist', 'fred schist repress', 'oil tycoon fred', 'richards company learns', 'bought native sacred', 'schist repress', 'native sacred', 'protecting dark', 'teri richards', 'schoolteacher teri richards', 'learns schist claims', 'rene laroque sabotaging', 'persons area summoned', 'richards company', '47 missing', 'ted sallis vanished', 'looks laroque soon', 'schist claims bought', 'called rene laroque', 'replace missing', 'teri looks laroque', 'money man called', 'sallis vanished money', 'called rene', 'laroque sabotaging facility', 'ted sallis', 'led schoolteacher teri', 'soon realizes', 'claims bought', 'gets closer teri', 'company learns', 'persons area', 'repress strike', 'strike led'];False;goes missing;0.402132511138916
995;Look Away;6.5;2018-10-12;en;tt5834760;Drama, Fantasy, Horror;Maria, a lonely 18-year-old high school student, opens up to her reflection because of the lack of support she has from family and her peers. She switches place with her supportive, but evil, twin that she discovers in the mirror's reflection, but the newfound freedom unleashes suppressed feelings.;;1119537;['twin discovers mirror', 'maria lonely', 'maria lonely 18', 'mirror reflection newfound', 'discovers mirror', 'discovers mirror reflection', 'supportive evil twin', 'mirror reflection', 'reflection newfound', 'evil twin discovers', 'twin discovers', 'evil twin', 'student opens reflection', 'reflection lack', 'reflection newfound freedom', 'opens reflection', 'reflection lack support', 'opens reflection lack', 'family peers', 'lonely 18 year', 'support family peers', 'lonely 18', 'high school student', 'supportive evil', 'school student', 'family peers switches', 'place supportive evil', 'old high school', 'year old high', 'unleashes suppressed feelings', '18 year old', 'school student opens', 'year old', 'student opens', 'newfound freedom unleashes', 'suppressed feelings', 'high school', 'place supportive', 'peers switches place', 'support family', 'peers switches', 'newfound freedom', 'lack support family', 'old high', 'switches place supportive', '18 year', 'switches place', 'freedom unleashes', 'lack support', 'unleashes suppressed', 'freedom unleashes suppressed'];False;young woman;0.4025857150554657
996;Black Water: Abyss;5.178;2020-07-09;en;tt7978672;Adventure, Horror, Thriller;Five friends exploring a remote cave system in Northern Australia find themselves threatened by a hungry crocodile.;;1117982;['threatened hungry crocodile', 'hungry crocodile', 'cave northern australia', 'australia threatened hungry', 'friends exploring', 'northern australia threatened', 'australia threatened', 'friends exploring remote', 'exploring remote cave', 'remote cave', 'remote cave northern', 'threatened hungry', 'cave northern', 'exploring remote', 'northern australia'];False;group friends;0.3018346130847931
997;Red State;6.054;2011-08-19;en;tt0873886;Action, Horror, Thriller;The teenager Jarod invites his best friends Travis and Billy-Ray to have a foursome with a thirty-eight year-old woman. While driving to meet the woman, Travis hit a car parked on the road. When they meet the woman, she gives spiked beer to them and they pass out. When the three friends wake up, they find that they are trapped in the fundamentalist Five Points Trinity Church of the infamous Pastor Abin Cooper and that they will be killed. Meanwhile the church is under siege by ATF agents led by Agent Joseph Keenan that have been ordered to destroy the terrorist cell. Will the teenagers be saved by the agents of the law enforcement agency?;$1,104,682;1104682;['teenagers saved agents', 'teenagers saved', 'cell teenagers saved', 'terrorist cell teenagers', 'killed church', 'cooper killed church', 'saved agents law', 'saved agents', 'cell teenagers', 'trinity church infamous', 'killed church siege', 'church siege atf', 'infamous pastor abin', 'church infamous', 'pastor abin', 'destroy terrorist cell', 'church siege', 'teenager jarod', 'pastor abin cooper', 'terrorist cell', 'points trinity church', 'abin cooper killed', 'atf agents led', 'agents law enforcement', 'teenager jarod invites', 'law enforcement agency', 'trinity church', 'atf agents', 'fundamentalist points trinity', 'infamous pastor', 'agent joseph keenan', 'agents led agent', 'travis hit', 'cooper killed', 'trapped fundamentalist', 'travis hit car', 'destroy terrorist', 'trapped fundamentalist points', 'siege atf agents', 'friends travis billy', 'ordered destroy terrorist', 'led agent joseph', 'wake trapped fundamentalist', 'friends wake trapped', 'agent joseph', 'fundamentalist points', 'agents law', 'best friends travis', 'ray foursome thirty', 'points trinity', 'woman travis hit', 'abin cooper', 'keenan ordered destroy', 'hit car', 'beer pass friends', 'pass friends wake', 'meet woman travis', 'gives spiked beer', 'beer pass', 'joseph keenan', 'pass friends', 'hit car parked', 'foursome thirty year', 'wake trapped', 'thirty year', 'billy ray', 'year old', 'woman gives spiked', 'best friends', 'road meet', 'parked road', 'old woman', 'meet woman gives', 'invites best', 'woman driving'];False;young couple;0.38857215642929077
998;Lord of Misrule;5.752;2023-10-26;en;tt11893676;Horror;A desperate search for the young daughter of the town's new minister.;$3,717;1103427;['search young daughter', 'young daughter town', 'town new minister', 'daughter town new', 'desperate search young', 'daughter town', 'young daughter', 'new minister', 'search young', 'desperate search', 'town new'];False;small town;0.36956554651260376
999;Martyrs;7.304;2008-06-12;fr;tt1029234;Horror;Fifteen years after a horrifying experience of abduction and prolonged torture, Lucie embarks on a bloody quest for revenge against her oppressors. Along with her childhood friend, Anna, who also suffered abuse, she quickly descends, without hope, into madness and her own delusions. Anna, left on her own begins to re-experience what Lucie did when she was only twelve years old.;;1100000;['prolonged torture lucie', 'torture lucie', 'torture lucie embarks', 'experience lucie', 'lucie did years', 'experience lucie did', 'lucie embarks bloody', 'lucie did', 'lucie embarks', 'begins experience lucie', 'childhood friend anna', 'anna suffered abuse', 'friend anna suffered', 'anna suffered', 'delusions anna left', 'revenge oppressors childhood', 'madness delusions anna', 'oppressors childhood friend', 'anna left', 'delusions anna', 'oppressors childhood', 'friend anna', 'anna left begins', 'childhood friend', 'quest revenge oppressors', 'revenge oppressors', 'horrifying experience abduction', 'suffered abuse quickly', 'abduction prolonged torture', 'hope madness delusions', 'madness delusions', 'suffered abuse', 'quest revenge', 'bloody quest revenge', 'abuse quickly descends', 'years horrifying experience', 'prolonged torture', 'hope madness', 'descends hope madness', 'experience abduction prolonged', 'abduction prolonged', 'did years old', 'experience abduction', 'years horrifying', 'horrifying experience', 'abuse quickly', 'embarks bloody quest', 'bloody quest', 'years old', 'did years', 'descends hope', 'quickly descends hope', 'left begins experience', 'begins experience', 'embarks bloody', 'quickly descends', 'left begins'];False;mysterious illness;0.41547632217407227
1000;A Tale of Two Sisters;7.097;2003-06-13;ko;tt0365376;Drama, Horror, Mystery;After spending time in a mental institution, two devoted sisters return to the home of their father and cruel stepmother. Once there, in addition to dealing with their stepmother's obsessive, unbalanced ways, an interfering ghost also affects their recovery.;$72,541;1100000;['sisters return home', 'devoted sisters return', 'sisters return', 'dealing stepmother', 'ghost affects recovery', 'stepmother obsessive unbalanced', 'dealing stepmother obsessive', 'stepmother obsessive', 'stepmother addition dealing', 'ways interfering ghost', 'cruel stepmother', 'interfering ghost', 'father cruel stepmother', 'ghost affects', 'cruel stepmother addition', 'interfering ghost affects', 'devoted sisters', 'addition dealing stepmother', 'institution devoted sisters', 'stepmother addition', 'home father cruel', 'return home father', 'return home', 'home father', 'mental institution', 'father cruel', 'mental institution devoted', 'time mental institution', 'obsessive unbalanced ways', 'obsessive unbalanced', 'affects recovery', 'spending time mental', 'time mental', 'unbalanced ways interfering', 'ways interfering', 'spending time', 'unbalanced ways', 'addition dealing', 'institution devoted'];False;returns home;0.433291494846344
