id,title,release_year,budget,revenue,runtime,main_genre,popularity,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
10537,The Doors,1991,38000000.0,34416893.0,140.0,Music,5.7573,0.0,0.0,False,False
45145,Johnny Suede,1991,500000.0,90091.0,97.0,Comedy,3.6681,0.0,0.0,False,False
17736,Where the Day Takes You,1992,3000000.0,390152.0,104.0,Drama,19.9122,0.0,0.0,False,False
772,Home Alone 2: Lost in New York,1992,18000000.0,358994850.0,120.0,Comedy,14.6204,0.0,0.0,False,False
7015,American Heart,1992,10000000.0,384015.0,110.0,Crime,14.9983,0.0,0.0,False,False
812,Aladdin,1992,28000000.0,504050219.0,91.0,Animation,14.8888,5.0,2.0,True,True
18183,Like Water for Chocolate,1992,2000000.0,21744201.0,105.0,Drama,16.6368,0.0,0.0,False,False
33,Unforgiven,1992,14400000.0,159157447.0,130.0,Western,14.6704,9.0,4.0,True,True
22792,High Strung,1992,300000.0,904.0,94.0,Comedy,13.0304,0.0,0.0,False,False
364,Batman Returns,1992,80000000.0,280000000.0,126.0,Action,13.1603,2.0,0.0,True,False
293,A River Runs Through It,1992,12000000.0,43440294.0,123.0,Drama,9.5127,3.0,1.0,True,True
11621,Porco Rosso,1992,9200000.0,44600000.0,93.0,Family,15.5708,0.0,0.0,False,False
500,Reservoir Dogs,1992,1200000.0,2859750.0,99.0,Crime,12.1221,0.0,0.0,False,False
19380,White Sands,1992,22000000.0,9011574.0,101.0,Crime,4.6283,0.0,0.0,False,False
25269,Article 99,1992,18000000.0,6400000.0,100.0,Drama,10.0569,0.0,0.0,False,False
2322,Sneakers,1992,23000000.0,105232691.0,125.0,Comedy,9.8251,0.0,0.0,False,False
23939,Stay Tuned,1992,25000000.0,10736401.0,87.0,Comedy,10.537,0.0,0.0,False,False
8077,Alien³,1992,50000000.0,159773545.0,114.0,Science Fiction,10.4747,0.0,0.0,False,False
619,The Bodyguard,1992,25000000.0,411006740.0,129.0,Action,10.889,2.0,0.0,True,False
5765,Knight Moves,1992,9000000.0,923418.0,116.0,Mystery,9.2487,0.0,0.0,False,False
10086,Man Bites Dog,1992,33000.0,205569.0,96.0,Comedy,7.9539,0.0,0.0,False,False
9475,Scent of a Woman,1992,31000000.0,134100000.0,156.0,Drama,8.758,4.0,1.0,True,True
9349,Universal Soldier,1992,23000000.0,119200000.0,103.0,Thriller,9.9108,0.0,0.0,False,False
402,Basic Instinct,1992,49000000.0,352927224.0,128.0,Thriller,9.9085,2.0,0.0,True,False
9869,Patriot Games,1992,45000000.0,178051587.0,117.0,Drama,8.8723,0.0,0.0,False,False
8872,Wayne's World,1992,20000000.0,183097323.0,94.0,Comedy,6.4469,0.0,0.0,False,False
31962,Shining Through,1992,35000000.0,43800000.0,132.0,Drama,6.6485,0.0,0.0,False,False
11134,Police Story 3: Super Cop,1992,900000.0,34391494.0,95.0,Action,9.5202,0.0,0.0,False,False
13937,Raising Cain,1992,12000000.0,37170057.0,92.0,Thriller,8.0234,0.0,0.0,False,False
10414,The Mighty Ducks,1992,10000000.0,50752337.0,101.0,Comedy,7.4537,0.0,0.0,False,False
88174,Whispers in the Dark,1992,30000000.0,11124122.0,103.0,Mystery,4.8517,0.0,0.0,False,False
4823,Final Analysis,1992,32000000.0,28600000.0,124.0,Drama,8.8602,0.0,0.0,False,False
14361,Captain Ron,1992,24000000.0,22518097.0,100.0,Adventure,6.4332,0.0,0.0,False,False
20763,Radio Flyer,1992,35000000.0,4651977.0,114.0,Drama,6.1521,0.0,0.0,False,False
27465,Once Upon a Crime,1992,18000000.0,3520427.0,94.0,Crime,5.2629,0.0,0.0,False,False
25748,Children of the Corn II: The Final Sacrifice,1992,900000.0,6980986.0,92.0,Horror,6.0029,0.0,0.0,False,False
11066,Boomerang,1992,40000000.0,131052444.0,117.0,Comedy,5.6684,0.0,0.0,False,False
12772,Leap of Faith,1992,20000000.0,23400000.0,108.0,Comedy,4.7901,0.0,0.0,False,False
1883,Malcolm X,1992,34000000.0,48169908.0,202.0,Drama,8.115,2.0,0.0,True,False
10906,Pet Sematary II,1992,8000000.0,17092453.0,100.0,Horror,5.7426,0.0,0.0,False,False
9374,Death Becomes Her,1992,55000000.0,149000000.0,104.0,Comedy,6.3765,1.0,1.0,True,True
6114,Bram Stoker's Dracula,1992,40000000.0,215862692.0,128.0,Romance,7.3669,4.0,3.0,True,True
33247,The Living End,1992,20000.0,692585.0,85.0,Crime,4.2785,0.0,0.0,False,False
11782,Hard Boiled,1992,4500000.0,2592782.0,126.0,Action,6.625,0.0,0.0,False,False
12251,Mo' Money,1992,17000000.0,40227006.0,97.0,Action,4.9166,0.0,0.0,False,False
1923,Twin Peaks: Fire Walk with Me,1992,10000000.0,4237427.0,135.0,Drama,6.3753,0.0,0.0,False,False
9361,The Last of the Mohicans,1992,40000000.0,75505856.0,112.0,Action,6.363,1.0,1.0,True,True
881,A Few Good Men,1992,40000000.0,243240178.0,138.0,Drama,5.9868,4.0,0.0,True,False
11087,The Hand That Rocks the Cradle,1992,11700000.0,88036683.0,110.0,Drama,6.8201,0.0,0.0,False,False
2005,Sister Act,1992,31000000.0,231605150.0,100.0,Music,5.5503,0.0,0.0,False,False
766,Army of Darkness,1992,11000000.0,21502976.0,81.0,Fantasy,4.9468,0.0,0.0,False,False
17494,Unlawful Entry,1992,23000000.0,57138719.0,112.0,Thriller,4.6172,0.0,0.0,False,False
