title,release_date,budget,revenue,roi,vote_average,vote_count,runtime,genres,avg_trend_before,max_trend_before,peak_date_before,avg_trend_after,max_trend_after
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-02,155000000,415686217,2.68,6.441,5837,113,"Adventure, Family, Fantasy",,,,,
Gulliver's Travels,2010-12-23,112000000,237382724,2.12,5.216,2508,85,"Family, Comedy, Adventure, Fantasy",1.42,100.0,2010-09-03,,
Burlesque,2010-11-23,55000000,89500000,1.63,7.21,2354,119,"Drama, Romance",17.09,100.0,2010-11-16,39.13,100.0
Get Him to the Greek,2010-06-03,40000000,90029656,2.25,5.979,1902,109,"Adventure, Comedy, Music",,,,,
6 Souls,2010-03-27,22000000,851517,0.04,6.026,756,112,"Horror, Mystery, Thriller",0.55,100.0,2009-11-25,,
Jonah Hex,2010-06-18,47000000,10539000,0.22,4.96,1524,81,"Western, Fantasy, Thriller",2.37,100.0,2010-01-02,,
Dear John,2010-02-04,25000000,114977104,4.6,6.845,4255,108,"Drama, Romance, War",1.55,100.0,2010-01-30,21.59,100.0
When in Rome,2010-01-29,55000000,43042835,0.78,5.932,1262,91,"Comedy, Fantasy, Romance",0.54,100.0,2009-08-23,,
Hereafter,2010-10-22,50000000,107000000,2.14,6.136,1789,129,"Drama, Fantasy",1.08,100.0,2010-08-03,3.12,100.0
The A-Team,2010-06-09,110000000,177238796,1.61,6.41,4927,117,"Action, Comedy, Crime",1.28,100.0,2010-02-07,,
It's Kind of a Funny Story,2010-10-08,8000000,6491240,0.81,6.954,2431,102,"Comedy, Drama",,,,,
Vanishing on 7th Street,2010-09-11,10000000,1671196,0.17,5.324,607,92,"Mystery, Horror, Thriller",,,,,
Undisputed III: Redemption,2010-04-17,3000000,76500000,25.5,7.55,993,96,"Action, Thriller, Crime, Drama",0.55,100.0,2009-11-29,,
The Extraordinary Adventures of Adèle Blanc-Sec,2010-04-09,25000000,34604339,1.38,6.249,1466,107,"Fantasy, Adventure, Action, Mystery",,,,,
I Spit on Your Grave,2010-06-17,2000000,572809,0.29,6.502,2505,108,"Thriller, Crime, Horror",,,,,
Scream 4,2011-04-13,40000000,97231420,2.43,6.476,4087,111,"Horror, Mystery",7.38,100.0,2011-04-13,37.29,100.0
Kill Bill: The Whole Bloody Affair,2011-03-27,55000000,5806312,0.11,8.0,1171,253,"Action, Crime",,,,,
Source Code,2011-03-30,32000000,147332697,4.6,7.309,8959,93,"Thriller, Science Fiction, Mystery",40.66,100.0,2010-11-10,59.06,100.0
Paul,2011-02-14,40000000,98000000,2.45,6.732,6161,104,"Adventure, Comedy, Science Fiction",38.12,100.0,2011-01-19,86.17,100.0
Friends with Benefits,2011-07-21,35000000,149500000,4.27,6.646,8320,109,"Romance, Comedy",4.66,100.0,2011-07-19,40.94,100.0
In Time,2011-10-27,40000000,173900000,4.35,6.969,11998,109,"Action, Thriller, Science Fiction",,,,51.16,100.0
