adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,revenue,runtime,genres
False,,[],1547542,cn,义不容辞,Taiwan Film,4.0341,,1990-01-01,义不容辞,False,0.0,0,0.0,0.0,0.0,[]
False,,[10749],991241,de,Rheinsberg,,6.1151,,1990-01-07,Rheinsberg,False,0.0,0,0.0,0.0,83.0,['Romance']
False,/hlop9mKPhXB4d04ACGUMpbGQ7uc.jpg,"[28, 18, 80]",207399,en,Twisted Justice,"In the Los Angeles of the future, police are forbidden to carry weapons and must use stun guns instead. A maverick detective ignores those restrictions in his pursuit of ""The Bullseye Murderer,"" a psychotic rapist who takes a new drug called ""Umbra"" that gives him superhuman strength and intelligence.",7.9889,/n9AEW7Zt2Mk7d3TMrtnNYjGIHhi.jpg,1990-03-20,Twisted Justice,False,5.1,5,0.0,0.0,78.0,"['Action', 'Drama', 'Crime']"
False,/sVdRqbNr6Xdpwyi66ep22YY2eBU.jpg,"[18, 10752, 36]",196991,fi,"Ystävät, toverit","The boisterous good humor of Jurmala, the nickel-mine owner, is, if anything, only barely dented by the raging battles in Finland before, during and after World War Two. In fact, everywhere he goes, he meets prospective customers on all sides of the conflict with his all-inclusive greeting ""Friends, Comrades."" Indeed, the resource he is wrenching from the earth's bowels is necessary to all forms of industrial activity, and is especially necessary for military applications. Thus, he has no reason to fear that he will ever run out of customers. This doesn't prevent him from using every possible means to entice them. At home, his relationship with his wife is not so prosperous, and they resort to some extraordinary means to try and keep on an even keel.",15.2789,/w1gwEiuMTbZH9ohSQC2TkYgVyG7.jpg,1990-11-16,"Friends, Comrades",False,5.0,6,0.0,0.0,132.0,"['Drama', 'War', 'History']"
False,,[18],796199,pt,Lady Vaselina,"In a single shot, mysterious characters discuss about a cockroach problem.",8.9683,/wXWXSqrxmcvVktveWaVgbeETlvW.jpg,1990-09-17,Lady Vaselina,False,0.0,0,0.0,0.0,16.0,['Drama']
False,/bmCqep0UfLS7UZdEzYMVEX6y5b.jpg,[18],1206081,ar,السرداب,"A young woman runs away from her palace to investigate the disappearance of her father, who went missing under mysterious way. A lawyer appears to her claiming that he is from her fiancé and that he will help her find the investigation. He takes her to his mysterious palace, which contains a basement in which strange sounds are heard, to begin a series of investigations and an attempt to solve these mysteries.",3.0335,/6NrS2kznCb6n9rsvFix82qXRvhA.jpg,1990-04-14,The Basement,False,0.0,0,0.0,0.0,100.0,['Drama']
False,/q59iHUVLHhOHBSxHIJzwfmNFVfL.jpg,[35],832897,zh,离婚合同,,2.854,/k5rg4AzCG4mZSsqLmNH2lHChjwj.jpg,1990-01-01,离婚合同,False,0.0,0,0.0,0.0,0.0,['Comedy']
False,/AtF7TESJEMmImBRUj9Z7HmW2ZH0.jpg,"[12, 35, 878]",196,en,Back to the Future Part III,"The final installment finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",5.5472,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,1990-05-25,Back to the Future Part III,False,7.489,11327,40000000.0,244527583.0,119.0,"['Adventure', 'Comedy', 'Science Fiction']"
False,,[],800981,ja,痴漢電車 柔らかい肌,"Yasuo, who loves molestation, has a girlfriend named Yoko. When Yoko visits Yasuo's apartment, Yasuo's cousin Sasaki brings his girlfriend Megumi and asks Yoko to look after her for the time being. Sasaki, an elite businessman, is being encouraged to marry Miyo, the daughter of the president of a company that Yasuo does business with. When Megumi starts living in the same room as Yasuo, Yoko, feeling betrayed, starts dating Section Chief Okubo. Thus, the three couples are faced with a series of intense love conflicts...",5.5679,,1990-06-23,Chikan Densha: Yawarakai Hada,False,2.0,2,0.0,0.0,57.0,[]
False,/tRKTlMoTsAhYpuq19V8Wk3RFY4O.jpg,[18],11005,en,Awakenings,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",4.4428,/9gztZXuHLG6AJ0fgqGd7Q43cWRI.jpg,1990-12-04,Awakenings,False,7.776,2805,31000000.0,52096475.0,120.0,['Drama']
False,/9Njx2J5p4f4OaH6vZZHUCxw73uK.jpg,"[28, 80, 18, 53]",6723,en,The Rookie,"Veteran cop Nick Pulovski is used to playing musical partners; many of the partners he's had in the past have died on the job, and often as a result of Nick's risky tactics. But the rookie who's been assigned to help Nick bust a carjacking ring is almost as hotheaded as he is … and when Nick gets kidnapped, his newbie partner is his only hope.",8.4768,/pr37i12Qe1gGxMBf6GTIDZvfFIT.jpg,1990-12-07,The Rookie,False,5.882,602,10000000.0,21600000.0,120.0,"['Action', 'Crime', 'Drama', 'Thriller']"
False,,[],603606,es,El día de las locas,,2.6314,/mxQl5kT0FuOPAdtV1wGNyi9CUL4.jpg,1990-02-06,El día de las locas,False,5.0,2,0.0,0.0,85.0,[]
False,/gDopsdEzZEX81jmSidXn7tFb8fw.jpg,"[35, 10749, 18]",12157,en,Green Card,"Urban horticulturalist Brontë Mitchell has her eye on a gorgeous apartment, but the building's board will rent it only to a married couple. Georges Fauré, a waiter from France whose visa is expiring, needs to marry an American woman to stay in the country. Their marriage of convenience turns into a burden when they must live together to allay the suspicions of the immigration service, as the polar opposites grate on each other's nerves.",7.764,/9UweLsv3pCORu25Uq72m2IBkKaK.jpg,1990-12-23,Green Card,False,6.12,529,12500000.0,29888235.0,108.0,"['Comedy', 'Romance', 'Drama']"
False,,[18],1528920,cs,Podivné premiéry,,4.7678,,1990-04-20,Podivné premiéry,False,0.0,0,0.0,0.0,0.0,['Drama']
False,/rpFJFmZplfOp2JzpmsWzmX72hJK.jpg,"[12, 16, 10751, 35, 14]",10837,en,DuckTales: The Movie - Treasure of the Lost Lamp,"With his nephews and niece, everyone's favorite rich uncle, Scrooge McDuck, treks from his mansion home in Duckburg in search of the long-lost loot of the thief Collie Baba. But finding the goods isn't quite what it's ""quacked"" up to be! Their thrilling adventure leads to comical chaos, magical mayhem, and a lesson about what is far more valuable than money, gold and jewels.",5.0511,/tXya1Z9SC51kNOHsFxRqL1GIBua.jpg,1990-08-03,DuckTales: The Movie - Treasure of the Lost Lamp,False,6.7,914,20000000.0,18115724.0,74.0,"['Adventure', 'Animation', 'Family', 'Comedy', 'Fantasy']"
