title,release_date,budget,revenue,runtime,genres,release_year
I liked the girl,1999-09-10,0.0,0.0,140.0,[],1999
E-m@il an Gott,1999-12-03,0.0,0.0,0.0,['Comedy'],1999
Catalina Trust,1999-01-01,0.0,0.0,92.0,['Drama'],1999
Polojasno,1999-11-18,0.0,0.0,0.0,['Drama'],1999
The Talented Mr. Ripley,1999-12-25,40000000.0,128798265.0,140.0,"['Thriller', 'Crime', 'Drama']",1999
Inferno,1999-12-24,0.0,0.0,114.0,['Drama'],1999
Hum Saath Saath Hain,1999-11-05,0.0,18980000.0,177.0,"['Romance', 'Family', 'Drama']",1999
Major Rock,1999-01-01,0.0,0.0,83.0,['Action'],1999
All About Bob,1999-06-24,0.0,0.0,99.0,['Comedy'],1999
True Crime,1999-03-19,55000000.0,16700000.0,127.0,"['Drama', 'Crime', 'Thriller', 'Mystery']",1999
Deep Blue Sea,1999-07-28,60000000.0,164648231.0,105.0,"['Action', 'Horror', 'Science Fiction']",1999
Magnolia,1999-12-17,37000000.0,48451803.0,189.0,['Drama'],1999
Sinful Obsession,1999-07-15,0.0,0.0,90.0,['Drama'],1999
The Blair Witch Project,1999-07-14,60000.0,248639099.0,81.0,"['Horror', 'Mystery']",1999
Hanele,1999-11-04,0.0,0.0,92.0,"['Drama', 'Romance']",1999
Retribution,1999-01-01,0.0,0.0,0.0,['Horror'],1999
First Kill,1999-09-24,0.0,0.0,43.0,['Crime'],1999
Ende des Frühlings,1999-03-01,0.0,0.0,0.0,['Drama'],1999
The Karma of Sex,1999-09-25,0.0,0.0,0.0,['Romance'],1999
Stuart Little,1999-12-17,133000000.0,300135367.0,84.0,"['Family', 'Fantasy', 'Comedy', 'Adventure']",1999
After Stonewall,1999-06-06,0.0,0.0,88.0,['Documentary'],1999
New Third Gangster IX,1999-09-21,0.0,0.0,84.0,"['Drama', 'Crime']",1999
Fine Secolo,1999-09-30,0.0,0.0,0.0,"['Thriller', 'Drama', 'TV Movie']",1999
Ein Mann für gewisse Sekunden,1999-06-07,0.0,0.0,0.0,['Comedy'],1999
Big Daddy,1999-06-25,34200000.0,234801895.0,93.0,"['Comedy', 'Drama']",1999
Forever Mine,1999-09-12,17000000.0,0.0,117.0,"['Crime', 'Drama', 'Romance', 'Thriller']",1999
Entrapment,1999-04-29,66000000.0,212404400.0,112.0,"['Romance', 'Drama', 'Mystery']",1999
I fetentoni,1999-12-10,0.0,0.0,99.0,['Comedy'],1999
The Guest,1999-06-04,0.0,0.0,85.0,['Drama'],1999
Being John Malkovich,1999-10-29,13000000.0,22863596.0,113.0,"['Comedy', 'Drama', 'Fantasy']",1999
Unnai Thedi,1999-02-05,0.0,0.0,0.0,[],1999
Wild Wild West,1999-06-30,170000000.0,222104681.0,106.0,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",1999
Ranger from the Nuclear Zone,1999-07-23,0.0,0.0,85.0,['Action'],1999
Take My Advice:  The Ann and Abby Story,1999-07-19,0.0,0.0,90.0,"['Comedy', 'Drama', 'TV Movie']",1999
Frezno Smooth,1999-01-01,0.0,0.0,90.0,[],1999
Dracula,1999-05-19,0.0,0.0,92.0,['Horror'],1999
Muppets from Space,1999-07-14,24000000.0,22300000.0,88.0,"['Family', 'Comedy', 'Science Fiction', 'Adventure']",1999
Revenge,1999-09-20,0.0,0.0,120.0,['Drama'],1999
Phantom Town,1999-02-16,0.0,0.0,90.0,"['Horror', 'Western', 'Family']",1999
Jawbreaker,1999-01-30,3000000.0,3100000.0,87.0,"['Comedy', 'Crime', 'Thriller']",1999
The Thirteenth Floor,1999-04-16,16000000.0,18564088.0,100.0,"['Thriller', 'Science Fiction', 'Mystery']",1999
Cheetah Story,1999-01-01,0.0,0.0,0.0,"['Documentary', 'TV Movie']",1999
The Wonder Cabinet,1999-01-01,0.0,0.0,90.0,"['Drama', 'Science Fiction', 'TV Movie']",1999
"Girl, Interrupted",1999-12-21,40000000.0,48350205.0,127.0,['Drama'],1999
Midsommar Stories,1999-01-01,0.0,0.0,98.0,[],1999
Midsummer,1999-04-29,0.0,0.0,0.0,"['Fantasy', 'Romance']",1999
Dogma,1999-10-04,10000000.0,33535478.0,130.0,"['Fantasy', 'Comedy', 'Adventure']",1999
Preminchedi Endukamma,1999-10-08,0.0,0.0,138.0,['Romance'],1999
The Bone Collector,1999-11-04,73000000.0,151493655.0,118.0,"['Crime', 'Thriller', 'Drama', 'Mystery']",1999
Sunshine,1999-09-13,26000000.0,7918035.0,181.0,"['Drama', 'History', 'Romance', 'War']",1999
能人于四,1999-01-01,0.0,0.0,0.0,['Comedy'],1999
Backwoods Marcy,1999-08-13,0.0,0.0,80.0,['Horror'],1999
Poomagal Oorvalam,1999-04-30,0.0,0.0,158.0,"['Drama', 'Romance']",1999
Monsoon,1999-03-22,0.0,0.0,100.0,['Drama'],1999
The Limey,1999-10-08,10000000.0,3204663.0,89.0,"['Crime', 'Drama', 'Thriller', 'Mystery']",1999
Fresh Air,1999-05-06,0.0,0.0,92.0,[],1999
The Messenger: The Story of Joan of Arc,1999-10-27,85000000.0,66976317.0,158.0,"['Adventure', 'Drama', 'Action', 'History', 'War']",1999
The Insider,1999-10-28,90000000.0,60300000.0,158.0,"['Drama', 'Thriller']",1999
Desert Blue,1999-06-04,2000000.0,100590.0,90.0,"['Comedy', 'Drama']",1999
Shapeshifter,1999-06-22,0.0,0.0,90.0,"['Family', 'Fantasy', 'Thriller']",1999
El recomendado,1999-12-31,0.0,0.0,93.0,['Action'],1999
Mother,1999-01-01,0.0,0.0,142.0,"['Comedy', 'Drama']",1999
The 13th Warrior,1999-08-13,120000000.0,61698899.0,103.0,"['Adventure', 'History', 'Action']",1999
Unknown Friend,1999-09-08,0.0,0.0,80.0,"['Drama', 'TV Movie']",1999
Shonky Golf,1999-01-13,0.0,0.0,45.0,['Comedy'],1999
End of Days,1999-11-24,100000000.0,212000000.0,122.0,"['Action', 'Horror', 'Fantasy']",1999
Pecata minuta,1999-04-09,0.0,140175.0,95.0,['Comedy'],1999
Velocity,1999-12-02,0.0,0.0,88.0,"['Action', 'Drama']",1999
The Admirer,1999-04-06,0.0,5000.0,93.0,"['Drama', 'Thriller', 'Mystery']",1999
肝胆相照,1999-01-09,0.0,0.0,0.0,['Drama'],1999
The Unscarred,2000-06-01,0.0,0.0,88.0,['Thriller'],2000
Scary Movie,2000-07-07,19000000.0,278023280.0,88.0,['Comedy'],2000
Gladiator,2000-05-04,103000000.0,465516248.0,155.0,"['Action', 'Drama', 'Adventure']",2000
One Piece: The Movie,2000-03-04,0.0,0.0,51.0,"['Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy']",2000
Scream 3,2000-02-04,40000000.0,161838076.0,116.0,"['Horror', 'Mystery']",2000
Cast Away,2000-12-22,90000000.0,429632142.0,143.0,"['Adventure', 'Drama']",2000
American Psycho,2000-04-13,7000000.0,34269748.0,102.0,"['Thriller', 'Drama', 'Crime']",2000
The Emperor's New Groove,2000-12-15,100000000.0,169327687.0,78.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2000
Memento,2000-10-11,9000000.0,40060108.0,113.0,"['Mystery', 'Thriller']",2000
Malena,2000-03-16,0.0,14493284.0,108.0,['Drama'],2000
Erin Brockovich,2000-03-17,52000000.0,256271286.0,131.0,['Drama'],2000
Chicken Run,2000-06-23,45000000.0,224834564.0,84.0,"['Animation', 'Comedy', 'Family']",2000
Snatch,2000-09-01,100000000.0,83557872.0,103.0,"['Crime', 'Comedy']",2000
Charlie's Angels,2000-11-02,92000000.0,264105545.0,98.0,"['Action', 'Comedy', 'Adventure']",2000
Unbreakable,2000-11-22,75000000.0,248118121.0,106.0,"['Thriller', 'Drama', 'Mystery']",2000
In the Mood for Love,2000-09-29,3000000.0,15867968.0,99.0,"['Drama', 'Romance']",2000
Mission: Impossible II,2000-05-24,125000000.0,546388108.0,123.0,"['Adventure', 'Action', 'Thriller']",2000
Good News,2000-01-01,0.0,0.0,79.0,['Music'],2000
Dinosaur,2000-05-19,127500000.0,354248063.0,82.0,"['Animation', 'Family', 'Adventure', 'Drama']",2000
How the Grinch Stole Christmas,2000-11-17,123000000.0,345800000.0,105.0,"['Family', 'Comedy', 'Fantasy']",2000
"Crouching Tiger, Hidden Dragon",2000-07-06,17000000.0,213978518.0,120.0,"['Adventure', 'Drama', 'Action', 'Romance']",2000
Cheeky,2000-01-28,2100000.0,0.0,91.0,"['Comedy', 'Drama', 'Romance']",2000
Baise-moi,2000-06-28,0.0,940944.0,77.0,"['Crime', 'Drama', 'Thriller']",2000
Final Destination,2000-03-17,23000000.0,112880294.0,98.0,['Horror'],2000
Hollow Man,2000-08-04,95000000.0,190213455.0,112.0,"['Action', 'Science Fiction', 'Thriller']",2000
The Road to El Dorado,2000-03-31,95000000.0,76400000.0,89.0,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",2000
Tödliche Wildnis – Sie waren jung und mussten sterben,2000-04-12,0.0,0.0,93.0,['Thriller'],2000
What Women Want,2000-12-15,70000000.0,374100000.0,127.0,"['Comedy', 'Romance']",2000
The Patriot,2000-06-28,110000000.0,215294342.0,165.0,"['Drama', 'History', 'War', 'Action']",2000
Who Is Fishing®?,2000-10-28,0.0,0.0,16.0,['Documentary'],2000
Concorde,2000-01-01,0.0,0.0,58.0,['Documentary'],2000
Danger in Blue 2,2000-01-01,0.0,0.0,105.0,"['Horror', 'Crime']",2000
Almost Famous,2000-09-15,60000000.0,47386287.0,124.0,"['Drama', 'Music']",2000
Big Momma's House,2000-05-31,30000000.0,173959438.0,98.0,"['Crime', 'Comedy']",2000
The Virgin Suicides,2000-04-21,6000000.0,10409377.0,97.0,"['Drama', 'Romance']",2000
When It Thunders,2000-02-04,0.0,0.0,92.0,[],2000
Mirka,2000-03-10,0.0,0.0,107.0,['Drama'],2000
Remember the Titans,2000-09-29,30000000.0,136700000.0,113.0,['Drama'],2000
Meet the Parents,2000-10-06,55000000.0,330444045.0,108.0,"['Comedy', 'Romance']",2000
High Fidelity,2000-03-17,30000000.0,47100000.0,113.0,"['Drama', 'Comedy', 'Romance', 'Music']",2000
Monsanto,2000-02-15,0.0,0.0,86.0,"['Drama', 'Thriller', 'TV Movie']",2000
Mamirolle,2000-01-19,0.0,0.0,90.0,['Drama'],2000
Zärtliche Sterne,2000-06-25,0.0,0.0,0.0,['Drama'],2000
Einmal leben,2000-01-09,0.0,0.0,0.0,[],2000
Golem,2000-12-10,0.0,0.0,104.0,"['Thriller', 'Fantasy']",2000
