tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
664413,tt10886166,365 Days,2020,"Romance, Drama",0,9458590,7.002,9434
599335,tt12572792,Okay! Madam,2020,"Comedy, Action",0,9341543,7.075,53
605735,tt10251538,10 Days with Dad,2020,"Family, Comedy",0,9305412,6.0,316
730647,tt12850582,Break the Silence: The Movie,2020,"Music, Documentary",0,8954945,9.048,187
671047,tt10233406,Les Blagues de Toto,2020,Comedy,6438600,8859185,4.844,61
521034,tt2702920,The Secret Garden,2020,"Family, Fantasy, Drama",0,8721243,6.343,606
664593,tt11542214,Sisters-In-Law,2020,Comedy,0,8613864,5.8,53
576987,tt10818092,(UN)Ideal Man,2020,"Comedy, Science Fiction, Romance",1839363,8613317,5.2,25
575718,tt11566164,Secret Zoo,2020,"Comedy, Drama",8100000,8300000,6.2,80
596161,tt9340860,Let Him Go,2020,"Thriller, Crime, Western",21000000,7997460,6.811,747
619083,tt10579380,AI Amok,2020,Science Fiction,0,7932191,7.25,12
679694,tt13486236,Smack Dab Kakha,2020,Comedy,0,7758221,4.174,23
609242,tt10948718,The Heist of the Century,2020,"Comedy, Thriller, Crime",0,7627100,7.734,839
560391,tt4558376,Downhill,2020,"Drama, Comedy",0,7547254,5.236,292
606954,tt10492998,I Hate Summer,2020,Comedy,0,7500000,7.061,981
563067,tt9318772,Fukushima 50,2020,"History, Drama, Action",0,7494243,6.5,189
661804,tt10880402,De Gaulle,2020,"History, Drama",0,7142214,6.066,288
576920,tt10525672,Silver Skates,2020,"Romance, Adventure, Drama, Family",0,7099734,7.502,302
627290,tt10065694,Antebellum,2020,Horror,15000000,7060384,6.248,977
523366,tt7080422,Dragon Rider,2020,"Animation, Family, Adventure, Fantasy",17800000,7000000,7.015,171
699361,tt13326736,Blood Moon Party,2020,"Comedy, Drama, Thriller",0,6825982,7.167,12
642657,tt11127878,Milea,2020,"Drama, Romance",4000000,6782253,6.2,29
642700,tt10590530,Pigs 3,2020,"Action, Crime",0,6725146,6.5,54
616180,tt9839038,Jim Button and the Wild 13,2020,"Adventure, Family, Fantasy",20000000,6700000,5.9,56
633172,tt9181732,Lindenberg! Mach dein Ding,2020,"Music, Drama, Documentary",0,6404964,6.37,50
501979,tt1086064,Bill & Ted Face the Music,2020,"Comedy, Science Fiction, Adventure, Music",25000000,6274027,5.903,1054
592717,tt11903004,Hotel Belgrade,2020,"Comedy, Romance",0,6237973,6.593,44
466622,tt7134096,The Rhythm Section,2020,"Action, Thriller",50000000,5989583,5.508,650
571648,tt9747594,Beasts Clawing at Straws,2020,"Mystery, Thriller, Crime, Drama",0,5707415,7.068,274
415311,tt3905764,The Neighbor,2020,"Thriller, Drama",0,5500000,4.919,148
575463,tt9288726,Mama Weed,2020,"Crime, Drama, Comedy",5080800,5460628,5.841,279
668435,tt10964430,Thappad,2020,Drama,2859129,5306068,7.0,67
659943,tt11060092,Poly,2020,"Family, Adventure",0,5236154,5.987,38
546121,tt8633478,Run,2020,"Thriller, Horror, Drama",1700000,5184368,7.228,2825
665488,tt9303772,Divorce Club,2020,Comedy,9466480,5127426,5.732,248
639564,tt7749142,The Kangaroo Chronicles,2020,Comedy,0,5081127,5.71,138
573730,tt10068916,Made in Abyss: Dawn of the Deep Soul,2020,"Animation, Adventure, Fantasy, Mystery",0,4971635,7.8,281
400160,tt4823776,The SpongeBob Movie: Sponge on the Run,2020,"Family, Comedy, Adventure, Animation",60000000,4810790,7.414,2952
516632,tt5867314,The Empty Man,2020,"Horror, Mystery",16000000,4796993,6.169,972
